stem,superpixels_requested,superpixels_nonempty,effective_width,fg_fraction
SOD_6497,16,16,48,0.1254
SOD_2079,16,15,45,0.1562
SOD_1842,16,15,45,0.5984
SOD_6650,16,15,45,0.2281
SOD_3627,16,16,48,0.2468
SOD_4386,16,16,48,0.1637
SOD_4036,16,16,48,0.0544
SOD_8111,16,16,48,0.0764
SOD_4599,16,16,48,0.1971
SOD_4734,16,16,48,0.1058
SOD_1238,16,12,36,0.0782
SOD_5896,16,16,48,0.3876
SOD_4584,16,15,45,0.1251
SOD_0109,16,13,39,0.1934
SOD_3925,16,16,48,0.175
SOD_0497,16,16,48,0.0981
SOD_6119,16,14,42,0.3996
SOD_3590,16,16,48,0.2794
SOD_5401,16,15,45,0.2564
SOD_0284,16,15,45,0.1589
