source,stem,file,fg_fraction,white_fraction,polarity,h,w,binary
LAKERED_input_masks,0004,SOD_0004.png,0.21705,0.78295,background=white,300,400,1
LAKERED_input_masks,0005,SOD_0005.png,0.274766,0.725234,background=white,267,400,1
LAKERED_input_masks,0006,SOD_0006.png,0.178633,0.821367,background=white,300,400,1
LAKERED_input_masks,0007,SOD_0007.png,0.166542,0.833458,background=white,300,400,1
LAKERED_input_masks,0008,SOD_0008.png,0.055009,0.944991,background=white,267,400,1
LAKERED_input_masks,0009,SOD_0009.png,0.082434,0.917566,background=white,267,400,1
LAKERED_input_masks,0010,SOD_0010.png,0.278938,0.721062,background=white,266,400,1
LAKERED_input_masks,0011,SOD_0011.png,0.110645,0.889355,background=white,283,400,1
LAKERED_input_masks,0012,SOD_0012.png,0.397729,0.602271,background=white,306,400,1
LAKERED_input_masks,0014,SOD_0014.png,0.133592,0.866408,background=white,300,400,1
LAKERED_input_masks,0015,SOD_0015.png,0.167527,0.832473,background=white,280,400,1
LAKERED_input_masks,0016,SOD_0016.png,0.08514,0.91486,background=white,268,400,1
LAKERED_input_masks,0020,SOD_0020.png,0.23425,0.76575,background=white,300,400,1
LAKERED_input_masks,0021,SOD_0021.png,0.188567,0.811433,background=white,300,400,1
LAKERED_input_masks,0024,SOD_0024.png,0.176104,0.823896,background=white,400,394,1
LAKERED_input_masks,0027,SOD_0027.png,0.06052,0.93948,background=white,250,400,1
LAKERED_input_masks,0029,SOD_0029.png,0.134822,0.865178,background=white,267,400,1
LAKERED_input_masks,0030,SOD_0030.png,0.227656,0.772344,background=white,288,400,1
LAKERED_input_masks,0031,SOD_0031.png,0.08497,0.91503,background=white,251,400,1
LAKERED_input_masks,0032,SOD_0032.png,0.212143,0.787857,background=white,224,400,1
LAKERED_input_masks,0035,SOD_0035.png,0.161127,0.838873,background=white,224,400,1
LAKERED_input_masks,0038,SOD_0038.png,0.245636,0.754364,background=white,224,400,1
LAKERED_input_masks,0040,SOD_0040.png,0.306563,0.693437,background=white,255,340,1
LAKERED_input_masks,0041,SOD_0041.png,0.240997,0.759003,background=white,306,400,1
LAKERED_input_masks,0042,SOD_0042.png,0.276112,0.723888,background=white,308,400,1
LAKERED_input_masks,0044,SOD_0044.png,0.166461,0.833539,background=white,267,400,1
LAKERED_input_masks,0045,SOD_0045.png,0.228379,0.771621,background=white,350,400,1
LAKERED_input_masks,0047,SOD_0047.png,0.374944,0.625056,background=white,325,300,1
LAKERED_input_masks,0048,SOD_0048.png,0.196725,0.803275,background=white,300,400,1
LAKERED_input_masks,0050,SOD_0050.png,0.351957,0.648043,background=white,364,400,1
LAKERED_input_masks,0051,SOD_0051.png,0.155131,0.844869,background=white,286,400,1
LAKERED_input_masks,0053,SOD_0053.png,0.287809,0.712191,background=white,267,400,1
LAKERED_input_masks,0054,SOD_0054.png,0.18658,0.81342,background=white,269,400,1
LAKERED_input_masks,0056,SOD_0056.png,0.092378,0.907622,background=white,267,400,1
LAKERED_input_masks,0057,SOD_0057.png,0.159026,0.840974,background=white,267,400,1
LAKERED_input_masks,0058,SOD_0058.png,0.150789,0.849211,background=white,244,400,1
LAKERED_input_masks,0059,SOD_0059.png,0.2454,0.7546,background=white,300,400,1
LAKERED_input_masks,0060,SOD_0060.png,0.076301,0.923699,background=white,267,400,1
LAKERED_input_masks,0061,SOD_0061.png,0.150228,0.849772,background=white,219,400,1
LAKERED_input_masks,0062,SOD_0062.png,0.123587,0.876413,background=white,269,400,1
LAKERED_input_masks,0063,SOD_0063.png,0.10755,0.89245,background=white,300,400,1
LAKERED_input_masks,0064,SOD_0064.png,0.09791,0.90209,background=white,268,400,1
LAKERED_input_masks,0068,SOD_0068.png,0.294033,0.705967,background=white,300,400,1
LAKERED_input_masks,0070,SOD_0070.png,0.267989,0.732011,background=white,266,400,1
LAKERED_input_masks,0072,SOD_0072.png,0.067025,0.932975,background=white,300,400,1
LAKERED_input_masks,0073,SOD_0073.png,0.087743,0.912257,background=white,267,400,1
LAKERED_input_masks,0074,SOD_0074.png,0.356192,0.643808,background=white,300,400,1
LAKERED_input_masks,0076,SOD_0076.png,0.183485,0.816515,background=white,226,400,1
LAKERED_input_masks,0080,SOD_0080.png,0.429913,0.570087,background=white,258,400,1
LAKERED_input_masks,0081,SOD_0081.png,0.254883,0.745117,background=white,235,400,1
LAKERED_input_masks,0083,SOD_0083.png,0.125783,0.874217,background=white,300,400,1
LAKERED_input_masks,0084,SOD_0084.png,0.282408,0.717592,background=white,400,300,1
LAKERED_input_masks,0085,SOD_0085.png,0.313026,0.686974,background=white,266,400,1
LAKERED_input_masks,0086,SOD_0086.png,0.323803,0.676197,background=white,284,400,1
