run,es_mean,rho_percluster_mae_k20,rho_percluster_1msa_k20,rho_perimage_mae,rho_perimage_1msa
repro,0.0439492527072328,0.78796992481203,0.4090225563909774,0.7513819110899784,0.3114359604084936
s42,0.06122236723849791,0.9308270676691727,0.4631578947368421,0.7917129306084432,0.45147494888977946
s43,0.05289761712767739,0.9082706766917292,0.4466165413533834,0.7775400871821503,0.37376229573205144
s45,0.05909511906776103,0.918796992481203,0.38345864661654133,0.7869608574976726,0.28379026753323205
s46,0.04608979009630605,0.918796992481203,0.40751879699248117,0.7415960948532241,0.25024820691928745

run_a,run_b,rho_es_ranking
repro,s42,0.8601503759398496
repro,s43,0.801503759398496
repro,s45,0.7654135338345864
repro,s46,0.900751879699248
s42,s43,0.9112781954887217
s42,s45,0.900751879699248
s42,s46,0.8902255639097743
s43,s45,0.9052631578947368
s43,s46,0.8436090225563909
s45,s46,0.900751879699248
