embedder,k,set,role,n_real,n_other,precision,recall,recall_share_of_ceiling,recall_delta_vs_raw,rel_loss_vs_raw
dinoL224,3,authors' pool,generated,4040,4447,0.4929165840148926,0.4123762547969818,0.4795624723387015,-0.22673270106315613,0.3547637675613704
dinoL224,3,local renders,generated,4040,4447,0.5160782337188721,0.39084160327911377,0.4545192973189725,-0.24826735258102417,0.38845857236798725
dinoL224,3,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.5655497908592224,0.6391089558601379,0.7432354976815629,,
dinoL224,3,NC4K (a different real set),cross-dataset,4040,4121,0.7954379916191101,0.7990099191665649,0.9291882541765312,,
dinoL224,3,"ceiling, RANDOM halves",ceiling,2020,2020,0.8618811964988708,0.8599010109901428,1.0,,
dinoL224,3,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.8257426023483276,0.7633663415908813,0.8877374626085094,,
dinoL224,3,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.8080000281333923,0.7835526466369629,0.9112126124084123,,
dinoL224,5,authors' pool,generated,4040,4447,0.6860805153846741,0.4829207956790924,0.51750661584813,-0.26435646414756775,0.35375954596676523
dinoL224,5,local renders,generated,4040,4447,0.6885541081428528,0.46683168411254883,0.5002652343352538,-0.28044557571411133,0.3752898566445927
dinoL224,5,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.6489768624305725,0.7472772598266602,0.8007957604918303,,
dinoL224,5,NC4K (a different real set),cross-dataset,4040,4121,0.8949283957481384,0.8873762488365173,0.9509283584974343,,
dinoL224,5,"ceiling, RANDOM halves",ceiling,2020,2020,0.9376237988471985,0.933168351650238,1.0,,
dinoL224,5,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.893069326877594,0.8737624287605286,0.936339543894031,,
dinoL224,5,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.8850000500679016,0.8898026943206787,0.953528581147367,,
dinoL224,10,authors' pool,generated,4040,4447,0.8403418064117432,0.5702970623970032,0.5809379904967307,-0.2962871193885803,0.3419022936445542
dinoL224,10,local renders,generated,4040,4447,0.8272992968559265,0.5695544481277466,0.580181520106575,-0.2970297336578369,0.34275923782247175
dinoL224,10,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.7440971732139587,0.8665841817855835,0.8827534040712182,,
dinoL224,10,NC4K (a different real set),cross-dataset,4040,4121,0.9703955054283142,0.952227771282196,0.9699949805436107,,
dinoL224,10,"ceiling, RANDOM halves",ceiling,2020,2020,0.983168363571167,0.9816831946372986,1.0,,
dinoL224,10,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.948019802570343,0.9717822074890137,0.9899142745822974,,
dinoL224,10,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.9520000219345093,0.9799342751502991,0.998218448174978,,
dinoL224,20,authors' pool,generated,4040,4447,0.9379357099533081,0.6784653663635254,0.6828600025292089,-0.2930693030357361,0.30165604199894636
dinoL224,20,local renders,generated,4040,4447,0.9284911155700684,0.7269802093505859,0.7316890915988752,-0.24455446004867554,0.2517197458325324
dinoL224,20,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.8266246914863586,0.9715346693992615,0.9778276087385847,,
dinoL224,20,NC4K (a different real set),cross-dataset,4040,4121,0.9961174130439758,0.9806931018829346,0.9870453633050185,,
dinoL224,20,"ceiling, RANDOM halves",ceiling,2020,2020,0.9950495362281799,0.9935643672943115,1.0,,
dinoL224,20,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.9762376546859741,0.9920792579650879,0.9985052711448702,,
dinoL224,20,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.9830000400543213,0.995394766330719,1.0018422551136692,,
dinoL518,3,authors' pool,generated,4040,4447,0.5333933234214783,0.4277227818965912,0.4925883819255421,-0.1710396111011505,0.28565523336365517
dinoL518,3,local renders,generated,4040,4447,0.5385653376579285,0.47698020935058594,0.5493158641040439,-0.12178218364715576,0.20338983388292906
dinoL518,3,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.5230492353439331,0.5987623929977417,0.6895667259452418,,
dinoL518,3,NC4K (a different real set),cross-dataset,4040,4121,0.7917981147766113,0.8212871551513672,0.9458381175264394,,
dinoL518,3,"ceiling, RANDOM halves",ceiling,2020,2020,0.8747525215148926,0.8683168292045593,1.0,,
dinoL518,3,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.7594059705734253,0.787128746509552,0.9064994712017945,,
dinoL518,3,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.800000011920929,0.8092105388641357,0.9319300417169512,,
dinoL518,5,authors' pool,generated,4040,4447,0.669215202331543,0.4834158420562744,0.5125984083759415,-0.22623765468597412,0.3188001689902831
dinoL518,5,local renders,generated,4040,4447,0.6606701016426086,0.5420792102813721,0.5748031326858584,-0.16757428646087646,0.23613536356848347
dinoL518,5,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.6022037267684937,0.7096534967422485,0.7524934461832384,,
dinoL518,5,NC4K (a different real set),cross-dataset,4040,4121,0.8891046047210693,0.8995049595832825,0.95380575168445,,
dinoL518,5,"ceiling, RANDOM halves",ceiling,2020,2020,0.9435644149780273,0.943069338798523,1.0,,
