comparison,role,n_a,n_b,accuracy,auc,d_probe_axis_insample,d_probe_axis_heldout,d_meandiff_heldout,d_meandiff_insample,norm_dmean,embedder
real target vs AUTHORS pool (what MyTrain reads),headline,4040,4447,0.9850804868472713,0.9985574961990581,4.6011437578205605,4.419255054643043,3.1745457820601177,3.230332618488007,0.33733890938192357,dinoL224
real target vs LOCAL renders (what ABC added),headline,4040,4447,0.9831173930113859,0.998768247611278,4.657581021277942,4.428382181604508,3.1027998069190597,3.144064793365666,0.32140195314721837,dinoL224
real target vs raw HKU-IS (LAKE-RED's OWN INPUT),paired-baseline,4040,4447,0.923046721633294,0.979390242395026,3.25768678332372,3.0522004054406735,2.225273804681403,2.2876408897147753,0.2128661621008605,dinoL224
real target minus 7 leaked vs AUTHORS pool,leak-sensitivity,4033,4447,0.985062893081761,0.9987677648778917,4.64952398879914,4.546694006578284,3.1659765787699348,3.2291626013053043,0.3373677912955256,dinoL224
COD10K 3040 vs CAMO 1000 -- INSIDE the target set,self-separation,3040,1000,0.8308580858085809,0.8647843567251463,1.8444448028790827,1.5743735060806823,0.9394593263116784,1.0147154785048982,0.13507658501773076,dinoL224
"real vs real, RANDOM halves (true null)",null,2020,2020,0.49587458745874585,0.5052391377751636,0.6867375644625682,0.031786803484309276,-0.0782875725213077,0.4014861080919687,0.028309591097290466,dinoL224
"real vs real, SORTED halves (the old defect)",old-defect,2020,2020,0.8127062706270627,0.8974855406332712,1.9982441717927655,1.7657595111563846,1.304635497412429,1.3336392671681723,0.20990764571184486,dinoL224
real vs same images JPEG-90,floor,4040,4040,0.341996699669967,0.2826234356108878,0.021602674367166327,0.8012767730893915,-0.24787863498303292,0.06182525657882239,0.002820434686280893,dinoL224
real vs same images JPEG-75,floor,4040,4040,0.4414191419141914,0.4155897025346099,0.3159371656143394,0.3039502370110348,-0.1581755998596889,0.2958142763105639,0.01196052482651126,dinoL224
real vs same images JPEG-50,floor,4040,4040,0.6794554455445545,0.7400622487991373,1.2240985971070695,0.867055133581413,0.23061366183202628,0.9285462712328693,0.03462889869244131,dinoL224
real vs same images JPEG-30,floor,4040,4040,0.7891914191419142,0.8509139899138427,1.7400278771768518,1.4186764041565643,0.6498725760091957,1.2649906663038841,0.04611960668485738,dinoL224
real vs same images darkened 20,floor,4040,4040,0.39067656765676567,0.3501106917622455,0.18242879437142126,0.5177952146355772,-0.164912496856833,0.17834670450062792,0.008570859647322973,dinoL224
COD10K-train minus 7 vs COD10K-test (second null),null,4033,2026,0.6490649064906491,0.5607179752066116,0.7326018577803547,0.23712719975905092,0.1429923168366239,0.3127886555565324,0.04054873774743032,dinoL224
real target vs NC4K (cross-dataset real-vs-real),cross-dataset,4040,4121,0.7333605553287056,0.8040192256897476,1.4019593903439793,1.203574158710738,0.7418310508578534,0.784718864996508,0.09383464881370746,dinoL224
real target vs AUTHORS pool (what MyTrain reads),headline,4040,4447,0.9811542991755006,0.9981613329872313,4.342626676906281,4.08943704900953,2.786997105061944,2.7719843989762283,0.2827135222634297,dinoL518
real target vs LOCAL renders (what ABC added),headline,4040,4447,0.9791912053396152,0.9980346349241666,4.300208297005179,4.068245558568282,2.7087299227378256,2.7289141290273298,0.25471364039885114,dinoL518
real target vs raw HKU-IS (LAKE-RED's OWN INPUT),paired-baseline,4040,4447,0.9254024342363565,0.9802412825552218,3.349376733444239,3.0849936244048175,2.163173101920256,2.162784120903238,0.187516703435035,dinoL518
real target minus 7 leaked vs AUTHORS pool,leak-sensitivity,4033,4447,0.9799528301886793,0.9984518071542741,4.349373142774198,4.1697674646124625,2.793588340883606,2.7714566393093185,0.2827825658277267,dinoL518
COD10K 3040 vs CAMO 1000 -- INSIDE the target set,self-separation,3040,1000,0.8275577557755776,0.8591959064327486,1.856324440303834,1.5385015227792693,0.8588760811868845,0.9469753846439892,0.12886994794497758,dinoL518
"real vs real, RANDOM halves (true null)",null,2020,2020,0.518976897689769,0.5122373623500964,0.6804697337854018,0.02237472043809356,-0.07163848608222834,0.40243133784212026,0.02808488213858267,dinoL518
"real vs real, SORTED halves (the old defect)",old-defect,2020,2020,0.8316831683168316,0.9109945648030149,2.1651968090573326,1.9177269139354078,1.3568621074775118,1.3876348315806797,0.20855638629116793,dinoL518
real vs same images JPEG-90,floor,4040,4040,0.37912541254125415,0.3255678909475106,0.1406214056994539,0.6515358727331935,-0.2069190113174842,0.19150883546535122,0.006888871907604908,dinoL518
real vs same images JPEG-75,floor,4040,4040,0.5470297029702971,0.5563785957803702,0.6908542420662902,0.15816982768147073,-0.06267157887258397,0.5606061983847263,0.018488181793251367,dinoL518
real vs same images JPEG-50,floor,4040,4040,0.6823432343234324,0.7322729797732249,1.2559456479101019,0.8382774469828266,0.15699581788146283,0.8733566294351615,0.029051081781686288,dinoL518
real vs same images JPEG-30,floor,4040,4040,0.7433993399339934,0.7969010391138125,1.4918987176462315,1.115020909557537,0.3123017369992689,0.9508213148246406,0.03450178439852346,dinoL518
real vs same images darkened 20,floor,4040,4040,0.3613861386138614,0.310783120391247,0.12505913040598726,0.6817834939400558,-0.23761901785532344,0.16716646599617443,0.005987188563817001,dinoL518
COD10K-train minus 7 vs COD10K-test (second null),null,4033,2026,0.6485148514851485,0.5627800130491518,0.7474243440238847,0.243175040122884,0.16663933564359498,0.3150167909242482,0.041927034408784404,dinoL518
real target vs NC4K (cross-dataset real-vs-real),cross-dataset,4040,4121,0.745610453246223,0.8243094519637897,1.5489862866491309,1.3162004354867733,0.7229950691314874,0.7677420327662657,0.0947940502804405,dinoL518
real target vs AUTHORS pool (what MyTrain reads),headline,4040,4447,0.9886140557518649,0.9992923449648335,5.5499183609750835,5.327363592204146,4.079110890130022,4.071246276682059,0.4169047777236886,clipL224
real target vs LOCAL renders (what ABC added),headline,4040,4447,0.9897919120533961,0.9995278179503344,5.63871154131126,5.4214774286508165,4.266734315563826,4.255112145110485,0.408161277394489,clipL224
real target vs raw HKU-IS (LAKE-RED's OWN INPUT),paired-baseline,4040,4447,0.9524931291715744,0.9898876404494381,3.7971141289118218,3.656158066469421,2.900127863521535,2.963948380357869,0.317102905992817,clipL224
real target minus 7 leaked vs AUTHORS pool,leak-sensitivity,4033,4447,0.9905660377358491,0.9994108317741955,5.56607514468382,5.457048506140012,4.089313683040248,4.070003816824042,0.41682541855199695,clipL224
