runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINet_A0_s42,SINet,A0,42,COD10K,2026,0,done,0.715086,0.481153,0.074960,0.759159,0.741502,0.788751,0.544687,0.552178,0.591207
SINet_A0_s43,SINet,A0,43,COD10K,2026,0,done,0.681706,0.431838,0.077044,0.765816,0.688856,0.781802,0.552572,0.505081,0.578945
SINet_A0_s45,SINet,A0,45,COD10K,2026,0,done,0.706058,0.459602,0.077347,0.762161,0.726824,0.788515,0.543810,0.538821,0.586360
SINet_A2_s42,SINet,A2,42,COD10K,2026,0,done,0.705507,0.450597,0.075994,0.764296,0.721048,0.787472,0.554209,0.537470,0.590047
SINet_A2_s43,SINet,A2,43,COD10K,2026,0,done,0.708334,0.471922,0.078489,0.751847,0.741395,0.782599,0.535755,0.544175,0.577011
SINet_A2_s45,SINet,A2,45,COD10K,2026,0,done,0.709196,0.446810,0.080858,0.751752,0.731916,0.785990,0.538291,0.539283,0.580356
SINet_B_s42,SINet,B,42,COD10K,2026,0,done,0.711554,0.471675,0.076085,0.750617,0.740832,0.789028,0.533931,0.542620,0.579406
SINet_B_s43,SINet,B,43,COD10K,2026,0,done,0.713632,0.478008,0.076278,0.749502,0.745119,0.786634,0.536201,0.550851,0.583928
SINet_B_s45,SINet,B,45,COD10K,2026,0,done,0.715155,0.463606,0.075917,0.752423,0.740073,0.794794,0.541840,0.550878,0.592340
SINet_C10_s42,SINet,C10,42,COD10K,2026,0,done,0.717165,0.489664,0.073184,0.759609,0.751058,0.792598,0.546726,0.559297,0.592030
SINet_C10_s43,SINet,C10,43,COD10K,2026,0,done,0.723034,0.497380,0.075136,0.761521,0.757392,0.798605,0.551557,0.568329,0.600879
SINet_C10_s45,SINet,C10,45,COD10K,2026,0,done,0.715243,0.475278,0.078355,0.752674,0.743969,0.787083,0.543608,0.554319,0.589172
SINetv2_A0_s42,SINetv2,A0,42,COD10K,2026,0,done,0.688813,0.480315,0.091691,0.755133,0.750740,0.760408,0.523556,0.531978,0.546289
SINetv2_A0_s43,SINetv2,A0,43,COD10K,2026,0,done,0.678740,0.463586,0.095147,0.746947,0.738738,0.748461,0.511785,0.517476,0.529941
SINetv2_A0_s45,SINetv2,A0,45,COD10K,2026,0,done,0.699883,0.491150,0.085756,0.762059,0.761208,0.775037,0.534276,0.545580,0.560489
SINetv2_A2_s42,SINetv2,A2,42,COD10K,2026,0,done,0.691914,0.480856,0.089186,0.754857,0.752826,0.765099,0.525311,0.535155,0.549281
SINetv2_A2_s43,SINetv2,A2,43,COD10K,2026,0,done,0.688977,0.479300,0.094524,0.749144,0.752168,0.766635,0.519357,0.530565,0.547958
SINetv2_A2_s45,SINetv2,A2,45,COD10K,2026,0,done,0.695414,0.483610,0.087455,0.751927,0.754712,0.768666,0.525590,0.537936,0.552679
SINetv2_B_s42,SINetv2,B,42,COD10K,2026,0,done,0.698340,0.480306,0.092242,0.746399,0.750170,0.771119,0.520559,0.537219,0.558579
SINetv2_B_s43,SINetv2,B,43,COD10K,2026,0,done,0.689481,0.478444,0.089883,0.754123,0.753645,0.765622,0.523358,0.531215,0.544711
SINetv2_B_s45,SINetv2,B,45,COD10K,2026,0,done,0.697385,0.490593,0.087132,0.757126,0.758552,0.770687,0.532890,0.541870,0.555843
SINetv2_C10_s42,SINetv2,C10,42,COD10K,2026,0,done,0.692321,0.477856,0.093395,0.740293,0.751285,0.771908,0.514966,0.529100,0.549984
SINetv2_C10_s43,SINetv2,C10,43,COD10K,2026,0,done,0.696328,0.478677,0.090749,0.743452,0.751750,0.770018,0.517415,0.533992,0.554458
SINetv2_C10_s45,SINetv2,C10,45,COD10K,2026,0,done,0.695360,0.486758,0.089182,0.755022,0.759806,0.773168,0.527322,0.538632,0.553802
SINet_A0_s42,SINet,A0,42,NC4K,4121,0,done,0.765121,0.603699,0.085752,0.824574,0.786745,0.831747,0.687534,0.670267,0.706472
SINet_A0_s43,SINet,A0,43,NC4K,4121,0,done,0.751545,0.583648,0.088874,0.823972,0.769559,0.825581,0.686207,0.653257,0.696691
SINet_A0_s45,SINet,A0,45,NC4K,4121,0,done,0.757700,0.586948,0.090228,0.822000,0.774811,0.827261,0.683280,0.659923,0.700902
SINet_A2_s42,SINet,A2,42,NC4K,4121,0,done,0.760908,0.585164,0.088385,0.828089,0.774973,0.833443,0.694771,0.664474,0.710242
SINet_A2_s43,SINet,A2,43,NC4K,4121,0,done,0.762933,0.601755,0.087466,0.822978,0.789875,0.828007,0.684420,0.671350,0.702007
SINet_A2_s45,SINet,A2,45,NC4K,4121,0,done,0.765789,0.584404,0.090892,0.821945,0.783802,0.831977,0.683724,0.668132,0.707344
SINet_B_s42,SINet,B,42,NC4K,4121,0,done,0.764108,0.595587,0.087897,0.820683,0.785252,0.829958,0.680145,0.665577,0.701572
SINet_B_s43,SINet,B,43,NC4K,4121,0,done,0.768972,0.610683,0.085001,0.823596,0.795682,0.833602,0.687552,0.677918,0.708868
SINet_B_s45,SINet,B,45,NC4K,4121,0,done,0.767632,0.594525,0.088175,0.822234,0.787168,0.833464,0.687048,0.673423,0.710933
SINet_C10_s42,SINet,C10,42,NC4K,4121,0,done,0.765296,0.609419,0.086273,0.822312,0.793044,0.829203,0.684831,0.674991,0.704569
SINet_C10_s43,SINet,C10,43,NC4K,4121,0,done,0.771241,0.617398,0.085305,0.826012,0.798453,0.836072,0.691851,0.684508,0.715558
SINet_C10_s45,SINet,C10,45,NC4K,4121,0,done,0.770503,0.606186,0.086622,0.821971,0.792545,0.831017,0.689078,0.677982,0.710405
SINetv2_A0_s42,SINetv2,A0,42,NC4K,4121,0,done,0.745691,0.613916,0.092348,0.816333,0.802714,0.811167,0.671078,0.668082,0.677074
SINetv2_A0_s43,SINetv2,A0,43,NC4K,4121,0,done,0.736067,0.596856,0.099838,0.803769,0.788032,0.796864,0.655269,0.651765,0.661601
SINetv2_A0_s45,SINetv2,A0,45,NC4K,4121,0,done,0.751473,0.615030,0.092634,0.817075,0.801671,0.813487,0.673044,0.669859,0.681852
SINetv2_A2_s42,SINetv2,A2,42,NC4K,4121,0,done,0.747102,0.609361,0.093372,0.814965,0.798161,0.808499,0.668789,0.664811,0.675633
SINetv2_A2_s43,SINetv2,A2,43,NC4K,4121,0,done,0.743257,0.609297,0.097429,0.811218,0.797373,0.804650,0.663070,0.660851,0.670920
SINetv2_A2_s45,SINetv2,A2,45,NC4K,4121,0,done,0.753292,0.617719,0.090255,0.819831,0.806062,0.818144,0.675555,0.672429,0.684054
SINetv2_B_s42,SINetv2,B,42,NC4K,4121,0,done,0.753317,0.606123,0.097475,0.810381,0.794098,0.811188,0.663293,0.661198,0.679391
SINetv2_B_s43,SINetv2,B,43,NC4K,4121,0,done,0.743653,0.606844,0.095901,0.809729,0.797977,0.806090,0.660770,0.660693,0.671722
SINetv2_B_s45,SINetv2,B,45,NC4K,4121,0,done,0.748868,0.615240,0.091476,0.815830,0.802753,0.812160,0.671347,0.668104,0.677438
SINetv2_C10_s42,SINetv2,C10,42,NC4K,4121,0,done,0.748534,0.608100,0.096669,0.808746,0.799932,0.810865,0.658193,0.660136,0.675072
SINetv2_C10_s43,SINetv2,C10,43,NC4K,4121,0,done,0.750839,0.606013,0.097324,0.806477,0.797644,0.812606,0.656982,0.661265,0.680532
SINetv2_C10_s45,SINetv2,C10,45,NC4K,4121,0,done,0.749305,0.616029,0.092402,0.816270,0.803169,0.811925,0.670238,0.668566,0.678301
