runid,arch,arm,seed,rounds,total_step_set,last_epoch,wall_min,tea_best,pool_r1,pool_r2,n_appended,target_loaded_4040,best_epoch,returncode,failed_checks
SINet_A0_s42,SINet,A0,42,2,0253,039/040,104.5,True,4447,6313,1866,2,32,,
SINet_A0_s43,SINet,A0,43,2,0253,039/040,105.7,True,4447,6179,1732,2,28,0,
SINet_A0_s45,SINet,A0,45,2,0253,039/040,107.3,True,4447,6243,1796,2,27,0,
SINet_A2_s42,SINet,A2,42,2,0253,039/040,105.9,True,5447,7227,1780,2,25,0,
SINet_A2_s43,SINet,A2,43,2,0253,039/040,107.7,True,5447,7284,1837,2,35,0,
SINet_A2_s45,SINet,A2,45,2,0253,039/040,106.2,True,5447,7208,1761,2,21,0,
SINet_B_s42,SINet,B,42,2,0253,039/040,108.3,True,5447,7349,1902,2,32,0,
SINet_B_s43,SINet,B,43,2,0253,039/040,107.0,True,5447,7550,2103,2,28,0,
SINet_B_s45,SINet,B,45,2,0253,039/040,108.3,True,5447,7466,2019,2,21,0,
SINet_C10_s42,SINet,C10,42,2,0253,039/040,106.1,True,5447,7299,1852,2,32,0,
SINet_C10_s43,SINet,C10,43,2,0253,039/040,107.7,True,5447,7229,1782,2,28,0,
SINet_C10_s45,SINet,C10,45,2,0253,039/040,108.1,True,5447,7610,2163,2,22,0,
SINetv2_A0_s42,SINetv2,A0,42,2,0127,099/100,125.0,True,4447,6414,1967,2,92,0,
SINetv2_A0_s43,SINetv2,A0,43,2,0127,099/100,126.7,True,4447,6358,1911,2,99,0,
SINetv2_A0_s45,SINetv2,A0,45,2,0127,099/100,128.8,True,4447,6425,1978,2,62,0,
SINetv2_A2_s42,SINetv2,A2,42,2,0127,099/100,127.0,True,5447,7446,1999,2,30,0,
SINetv2_A2_s43,SINetv2,A2,43,2,0127,099/100,129.4,True,5447,7551,2104,2,70,0,
SINetv2_A2_s45,SINetv2,A2,45,2,0127,099/100,127.2,True,5447,7470,2023,2,31,0,
SINetv2_B_s42,SINetv2,B,42,2,0127,099/100,129.7,True,5447,7457,2010,2,30,0,
SINetv2_B_s43,SINetv2,B,43,2,0127,099/100,126.8,True,5447,7492,2045,2,99,0,
SINetv2_B_s45,SINetv2,B,45,2,0127,099/100,128.2,True,5447,7452,2005,2,62,0,
SINetv2_C10_s42,SINetv2,C10,42,2,0127,099/100,126.3,True,5447,7587,2140,2,34,0,
SINetv2_C10_s43,SINetv2,C10,43,2,0127,099/100,127.7,True,5447,7351,1904,2,22,0,
SINetv2_C10_s45,SINetv2,C10,45,2,0127,099/100,121.2,True,5447,7467,2020,2,62,0,
