runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINet_A0FX_s42,SINet,A0FX,42,COD10K,2026,0,done,0.709976,0.481967,0.075211,0.761276,0.742651,0.786979,0.547897,0.550037,0.583613
SINet_A0FX_s43,SINet,A0FX,43,COD10K,2026,0,done,0.694606,0.466280,0.076010,0.767176,0.721615,0.778388,0.554593,0.533130,0.577808
SINet_A0FX_s45,SINet,A0FX,45,COD10K,2026,0,done,0.693294,0.467576,0.071956,0.772914,0.720362,0.788961,0.560214,0.535674,0.586175
SINet_BFX_s42,SINet,BFX,42,COD10K,2026,0,done,0.709906,0.492135,0.074493,0.768400,0.750288,0.790565,0.551286,0.555479,0.584913
SINet_BFX_s43,SINet,BFX,43,COD10K,2026,0,done,0.710004,0.481253,0.080627,0.748896,0.744620,0.779860,0.533039,0.548395,0.577857
SINet_BFX_s45,SINet,BFX,45,COD10K,2026,0,done,0.713985,0.489325,0.072944,0.762212,0.748849,0.790774,0.549177,0.557141,0.590919
SINet_C10FX_s42,SINet,C10FX,42,COD10K,2026,0,done,0.709928,0.489636,0.073532,0.766997,0.749440,0.787330,0.548976,0.555028,0.584187
SINet_C10FX_s43,SINet,C10FX,43,COD10K,2026,0,done,0.716242,0.494733,0.074064,0.761217,0.753928,0.789291,0.548064,0.559892,0.588412
SINet_C10FX_s45,SINet,C10FX,45,COD10K,2026,0,done,0.712046,0.482784,0.077041,0.755283,0.745867,0.784182,0.540464,0.550184,0.582187
SINetv2_A0FX_s42,SINetv2,A0FX,42,COD10K,2026,0,done,0.687963,0.474803,0.089492,0.749202,0.747716,0.760162,0.517908,0.527609,0.543188
SINetv2_A0FX_s43,SINetv2,A0FX,43,COD10K,2026,0,done,0.690038,0.481361,0.087738,0.759976,0.752103,0.759745,0.527900,0.532424,0.542988
SINetv2_A0FX_s45,SINetv2,A0FX,45,COD10K,2026,0,done,0.693159,0.490763,0.085662,0.768517,0.760657,0.768001,0.538436,0.544325,0.553920
SINetv2_BFX_s42,SINetv2,BFX,42,COD10K,2026,0,done,0.685803,0.476826,0.095039,0.752424,0.745365,0.757596,0.521960,0.527365,0.542593
SINetv2_BFX_s43,SINetv2,BFX,43,COD10K,2026,0,done,0.687125,0.474746,0.096126,0.746369,0.744664,0.757404,0.517770,0.526439,0.541265
SINetv2_BFX_s45,SINetv2,BFX,45,COD10K,2026,0,done,0.694353,0.485700,0.085578,0.758694,0.758962,0.769835,0.528469,0.536090,0.550749
SINetv2_C10FX_s42,SINetv2,C10FX,42,COD10K,2026,0,done,0.688546,0.474114,0.095057,0.742641,0.748712,0.766576,0.512615,0.525558,0.544691
SINetv2_C10FX_s43,SINetv2,C10FX,43,COD10K,2026,0,done,0.681483,0.458644,0.093082,0.735662,0.740341,0.756462,0.501829,0.512706,0.529556
SINetv2_C10FX_s45,SINetv2,C10FX,45,COD10K,2026,0,done,0.695203,0.484432,0.087067,0.752603,0.758712,0.772517,0.525042,0.537233,0.554261
SINet_A0FX_s42,SINet,A0FX,42,NC4K,4121,0,done,0.762701,0.606772,0.085970,0.824118,0.790074,0.829045,0.687471,0.672559,0.703763
