runid,arch,arm,seed,rounds,total_step_set,last_epoch,wall_min,tea_best,pool_r1,pool_r2,n_appended,target_loaded_4040,best_epoch,returncode,failed_checks
SINet_A0FX_s42,SINet,A0FX,42,2,"0278,0400",039/040,138.4,True,4447,6394,1947,2,21,0,
SINet_A0FX_s43,SINet,A0FX,43,2,"0278,0390",039/040,139.3,True,4447,6232,1785,2,26,0,
SINet_A0FX_s45,SINet,A0FX,45,2,"0278,0396",039/040,137.8,True,4447,6329,1882,2,31,0,
SINet_BFX_s42,SINet,BFX,42,2,"0341,0474",039/040,168.7,True,5447,7575,2128,2,36,0,
SINet_BFX_s43,SINet,BFX,43,2,"0341,0467",039/040,163.1,True,5447,7466,2019,2,29,0,
SINet_BFX_s45,SINet,BFX,45,2,"0341,0475",039/040,169.1,True,5447,7592,2145,2,27,0,
SINet_C10FX_s42,SINet,C10FX,42,2,"0341,0470",039/040,163.7,True,5447,7512,2065,2,34,0,
SINet_C10FX_s43,SINet,C10FX,43,2,"0341,0455",039/040,164.5,True,5447,7271,1824,2,25,0,
SINet_C10FX_s45,SINet,C10FX,45,2,"0341,0456",039/040,161.5,True,5447,7291,1844,2,21,0,
SINetv2_A0FX_s42,SINetv2,A0FX,42,2,"0139,0189",099/100,157.6,True,4447,6048,1601,2,33,0,
SINetv2_A0FX_s43,SINetv2,A0FX,43,2,"0139,0203",099/100,166.7,True,4447,6477,2030,2,47,0,
SINetv2_A0FX_s45,SINetv2,A0FX,45,2,"0139,0203",099/100,174.8,True,4447,6481,2034,2,33,0,
SINetv2_BFX_s42,SINetv2,BFX,42,2,"0171,0232",099/100,242.8,True,5447,7407,1960,2,88,0,
SINetv2_BFX_s43,SINetv2,BFX,43,2,"0171,0237",099/100,277.7,True,5447,7581,2134,2,30,0,
SINetv2_BFX_s45,SINetv2,BFX,45,2,"0171,0232",099/100,279.7,True,5447,7417,1970,2,45,0,
SINetv2_C10FX_s42,SINetv2,C10FX,42,2,"0171,0230",099/100,282.2,True,5447,7348,1901,2,30,0,
SINetv2_C10FX_s43,SINetv2,C10FX,43,2,"0171,0230",099/100,218.0,True,5447,7330,1883,2,39,0,
SINetv2_C10FX_s45,SINetv2,C10FX,45,2,"0171,0233",099/100,256.1,True,5447,7432,1985,2,24,0,
