runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINet_B_s42,SINet,B,42,COD10K,2026,0,done,0.711554,0.471675,0.076085,0.750617,0.740832,0.789028,0.533931,0.542620,0.579406
SINet_B_s43,SINet,B,43,COD10K,2026,0,done,0.713632,0.478008,0.076278,0.749502,0.745119,0.786634,0.536201,0.550851,0.583928
SINet_B_s45,SINet,B,45,COD10K,2026,0,done,0.715155,0.463606,0.075917,0.752423,0.740073,0.794794,0.541840,0.550878,0.592340
SINet_C10_s42,SINet,C10,42,COD10K,2026,0,done,0.717165,0.489664,0.073184,0.759609,0.751058,0.792598,0.546726,0.559297,0.592030
SINet_C10_s43,SINet,C10,43,COD10K,2026,0,done,0.723034,0.497380,0.075136,0.761521,0.757392,0.798605,0.551557,0.568329,0.600879
SINet_C10_s45,SINet,C10,45,COD10K,2026,0,done,0.715243,0.475278,0.078355,0.752674,0.743969,0.787083,0.543608,0.554319,0.589172
SINet_CORACLE_s42,SINet,CORACLE,42,COD10K,2026,0,done,0.712710,0.480562,0.075207,0.756717,0.745532,0.786858,0.540977,0.551492,0.584366
SINet_CORACLE_s43,SINet,CORACLE,43,COD10K,2026,0,done,0.712519,0.475326,0.076803,0.748791,0.742017,0.785153,0.533884,0.550027,0.583863
SINet_CORACLE_s45,SINet,CORACLE,45,COD10K,2026,0,done,0.717644,0.486733,0.070957,0.763485,0.749797,0.796128,0.549097,0.559180,0.594603
SINetv2_B_s42,SINetv2,B,42,COD10K,2026,0,done,0.698340,0.480306,0.092242,0.746399,0.750170,0.771119,0.520559,0.537219,0.558579
SINetv2_B_s43,SINetv2,B,43,COD10K,2026,0,done,0.689481,0.478444,0.089883,0.754123,0.753645,0.765622,0.523358,0.531215,0.544711
SINetv2_B_s45,SINetv2,B,45,COD10K,2026,0,done,0.697385,0.490593,0.087132,0.757126,0.758552,0.770687,0.532890,0.541870,0.555843
SINetv2_C10_s42,SINetv2,C10,42,COD10K,2026,0,done,0.692321,0.477856,0.093395,0.740293,0.751285,0.771908,0.514966,0.529100,0.549984
SINetv2_C10_s43,SINetv2,C10,43,COD10K,2026,0,done,0.696328,0.478677,0.090749,0.743452,0.751750,0.770018,0.517415,0.533992,0.554458
SINetv2_C10_s45,SINetv2,C10,45,COD10K,2026,0,done,0.695360,0.486758,0.089182,0.755022,0.759806,0.773168,0.527322,0.538632,0.553802
SINetv2_CORACLE_s42,SINetv2,CORACLE,42,COD10K,2026,0,done,0.696546,0.482475,0.085971,0.754899,0.755447,0.769486,0.526317,0.538045,0.554231
SINetv2_CORACLE_s43,SINetv2,CORACLE,43,COD10K,2026,0,done,0.691810,0.483470,0.092174,0.753840,0.749790,0.760825,0.527072,0.536427,0.551315
SINetv2_CORACLE_s45,SINetv2,CORACLE,45,COD10K,2026,0,done,0.703872,0.494831,0.087296,0.755216,0.762695,0.780213,0.533073,0.548051,0.565812
SINet_B_s42,SINet,B,42,NC4K,4121,0,done,0.764108,0.595587,0.087897,0.820683,0.785252,0.829958,0.680145,0.665577,0.701572
SINet_B_s43,SINet,B,43,NC4K,4121,0,done,0.768972,0.610683,0.085001,0.823596,0.795682,0.833602,0.687552,0.677918,0.708868
SINet_B_s45,SINet,B,45,NC4K,4121,0,done,0.767632,0.594525,0.088175,0.822234,0.787168,0.833464,0.687048,0.673423,0.710933
SINet_C10_s42,SINet,C10,42,NC4K,4121,0,done,0.765296,0.609419,0.086273,0.822312,0.793044,0.829203,0.684831,0.674991,0.704569
