runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINet_B_s42,SINet,B,42,COD10K,2026,0,done,0.711554,0.471675,0.076085,0.750617,0.740832,0.789028,0.533931,0.542620,0.579406
SINet_B_s43,SINet,B,43,COD10K,2026,0,done,0.713632,0.478008,0.076278,0.749502,0.745119,0.786634,0.536201,0.550851,0.583928
SINet_B_s45,SINet,B,45,COD10K,2026,0,done,0.715155,0.463606,0.075917,0.752423,0.740073,0.794794,0.541840,0.550878,0.592340
SINet_B_s46,SINet,B,46,COD10K,2026,0,done,0.719907,0.481293,0.073129,0.754936,0.750061,0.800307,0.543873,0.556968,0.595322
SINet_B_s47,SINet,B,47,COD10K,2026,0,done,0.715389,0.482737,0.073056,0.761688,0.742663,0.794078,0.549563,0.554609,0.592244
SINet_B_s48,SINet,B,48,COD10K,2026,0,done,0.714654,0.477747,0.077491,0.750437,0.746369,0.791499,0.535562,0.550402,0.585886
SINet_B_s49,SINet,B,49,COD10K,2026,0,done,0.717064,0.481872,0.075195,0.759926,0.748278,0.792235,0.548090,0.558884,0.593802
SINet_B_s50,SINet,B,50,COD10K,2026,0,done,0.713662,0.469662,0.078957,0.747733,0.742457,0.788315,0.533722,0.547465,0.584653
SINet_C10_s42,SINet,C10,42,COD10K,2026,0,done,0.717165,0.489664,0.073184,0.759609,0.751058,0.792598,0.546726,0.559297,0.592030
SINet_C10_s43,SINet,C10,43,COD10K,2026,0,done,0.723034,0.497380,0.075136,0.761521,0.757392,0.798605,0.551557,0.568329,0.600879
SINet_C10_s45,SINet,C10,45,COD10K,2026,0,done,0.715243,0.475278,0.078355,0.752674,0.743969,0.787083,0.543608,0.554319,0.589172
SINet_C10_s46,SINet,C10,46,COD10K,2026,0,done,0.717257,0.478262,0.073812,0.753764,0.747221,0.793462,0.541813,0.554034,0.590481
SINet_C10_s47,SINet,C10,47,COD10K,2026,0,done,0.722152,0.496035,0.072069,0.766407,0.753884,0.799337,0.556241,0.568037,0.603411
SINet_C10_s48,SINet,C10,48,COD10K,2026,0,done,0.707225,0.467742,0.074256,0.758824,0.731934,0.787738,0.544861,0.542871,0.586875
SINet_C10_s49,SINet,C10,49,COD10K,2026,0,done,0.718305,0.486047,0.073627,0.758460,0.749615,0.793849,0.546428,0.560681,0.596725
SINet_C10_s50,SINet,C10,50,COD10K,2026,0,done,0.719453,0.475731,0.075136,0.751054,0.745830,0.795083,0.540416,0.555062,0.594239
SINet_CINV_s42,SINet,CINV,42,COD10K,2026,0,done,0.722612,0.487237,0.073910,0.753551,0.756737,0.796301,0.541875,0.564231,0.597552
SINet_CINV_s43,SINet,CINV,43,COD10K,2026,0,done,0.717343,0.476461,0.077323,0.745751,0.750188,0.791954,0.531025,0.551414,0.585551
SINet_CINV_s45,SINet,CINV,45,COD10K,2026,0,done,0.718084,0.486938,0.073607,0.760605,0.748577,0.793940,0.549300,0.558849,0.595022
SINet_CINV_s46,SINet,CINV,46,COD10K,2026,0,done,0.724869,0.498327,0.071920,0.765389,0.757567,0.799987,0.556111,0.572768,0.605894
SINet_CINV_s47,SINet,CINV,47,COD10K,2026,0,done,0.718769,0.490802,0.075220,0.758982,0.753491,0.794064,0.545389,0.559884,0.592047
SINet_CINV_s48,SINet,CINV,48,COD10K,2026,0,done,0.720919,0.498248,0.069786,0.773094,0.754382,0.799867,0.561871,0.568800,0.604854
