runid,arch,arm,seed,rounds,total_step_set,last_epoch,wall_min,tea_best,pool_r1,pool_r2,n_appended,target_loaded_4040,best_epoch,returncode,failed_checks
SINet_B_s42,SINet,B,42,2,0253,039/040,108.3,True,5447,7349,1902,2,32,,
SINet_B_s43,SINet,B,43,2,0253,039/040,107.0,True,5447,7550,2103,2,28,,
SINet_B_s45,SINet,B,45,2,0253,039/040,108.3,True,5447,7466,2019,2,21,,
SINet_B_s46,SINet,B,46,2,0253,039/040,106.1,True,5447,7448,2001,2,28,,
SINet_B_s47,SINet,B,47,2,0253,039/040,106.4,True,5447,7442,1995,2,29,,
SINet_B_s48,SINet,B,48,2,0253,039/040,105.4,True,5447,7264,1817,2,30,,
SINet_B_s49,SINet,B,49,2,0253,039/040,106.3,True,5447,7406,1959,2,24,,
SINet_B_s50,SINet,B,50,2,0253,039/040,106.0,True,5447,7423,1976,2,27,,
SINet_C10_s42,SINet,C10,42,2,0253,039/040,106.1,True,5447,7299,1852,2,32,,
SINet_C10_s43,SINet,C10,43,2,0253,039/040,107.7,True,5447,7229,1782,2,28,,
SINet_C10_s45,SINet,C10,45,2,0253,039/040,108.1,True,5447,7610,2163,2,22,,
SINet_C10_s46,SINet,C10,46,2,0253,039/040,105.9,True,5447,7357,1910,2,28,,
SINet_C10_s47,SINet,C10,47,2,0253,039/040,105.3,True,5447,7346,1899,2,29,,
SINet_C10_s48,SINet,C10,48,2,0253,039/040,106.0,True,5447,7285,1838,2,39,,
SINet_C10_s49,SINet,C10,49,2,0253,039/040,106.3,True,5447,7525,2078,2,29,,
SINet_C10_s50,SINet,C10,50,2,0253,039/040,106.1,True,5447,7346,1899,2,25,,
SINet_CINV_s42,SINet,CINV,42,2,0253,039/040,106.1,True,5447,7396,1949,2,22,,
SINet_CINV_s43,SINet,CINV,43,2,0253,039/040,106.9,True,5447,7457,2010,2,29,,
SINet_CINV_s45,SINet,CINV,45,2,0253,039/040,107.2,True,5447,7504,2057,2,27,,
SINet_CINV_s46,SINet,CINV,46,2,0253,039/040,105.7,True,5447,7413,1966,2,23,0,
SINet_CINV_s47,SINet,CINV,47,2,0253,039/040,105.6,True,5447,7502,2055,2,29,0,
SINet_CINV_s48,SINet,CINV,48,2,0253,039/040,105.7,True,5447,7375,1928,2,29,0,
SINet_CINV_s49,SINet,CINV,49,2,0253,039/040,105.3,True,5447,7461,2014,2,24,0,
SINet_CINV_s50,SINet,CINV,50,2,0253,039/040,105.6,True,5447,7316,1869,2,30,0,
SINet_CSHUF_s42,SINet,CSHUF,42,2,0253,039/040,104.8,True,5447,7439,1992,2,28,,
SINet_CSHUF_s43,SINet,CSHUF,43,2,0253,039/040,106.3,True,5447,7461,2014,2,28,,
SINet_CSHUF_s45,SINet,CSHUF,45,2,0253,039/040,106.6,True,5447,7361,1914,2,21,,
SINet_CSHUF_s46,SINet,CSHUF,46,2,0253,039/040,106.4,True,5447,7374,1927,2,26,,
SINet_CSHUF_s47,SINet,CSHUF,47,2,0253,039/040,106.5,True,5447,7306,1859,2,29,,
SINet_CSHUF_s48,SINet,CSHUF,48,2,0253,039/040,105.8,True,5447,7516,2069,2,38,0,
SINet_CSHUF_s49,SINet,CSHUF,49,2,0253,039/040,106.3,True,5447,7438,1991,2,37,0,
SINet_CSHUF_s50,SINet,CSHUF,50,2,0253,039/040,105.3,True,5447,7335,1888,2,30,0,
SINetv2_B_s42,SINetv2,B,42,2,0127,099/100,129.7,True,5447,7457,2010,2,30,,
SINetv2_B_s43,SINetv2,B,43,2,0127,099/100,126.8,True,5447,7492,2045,2,99,,
SINetv2_B_s45,SINetv2,B,45,2,0127,099/100,128.2,True,5447,7452,2005,2,62,,
SINetv2_B_s46,SINetv2,B,46,2,0127,099/100,121.2,True,5447,7502,2055,2,37,0,
SINetv2_B_s47,SINetv2,B,47,2,0127,099/100,121.7,True,5447,7412,1965,2,21,0,
SINetv2_B_s48,SINetv2,B,48,2,0127,099/100,121.7,True,5447,7537,2090,2,23,0,
SINetv2_B_s49,SINetv2,B,49,2,0127,099/100,121.2,True,5447,7325,1878,2,76,0,
SINetv2_B_s50,SINetv2,B,50,2,0127,099/100,121.7,True,5447,7483,2036,2,37,0,
SINetv2_C10_s42,SINetv2,C10,42,2,0127,099/100,126.3,True,5447,7587,2140,2,34,,
SINetv2_C10_s43,SINetv2,C10,43,2,0127,099/100,127.7,True,5447,7351,1904,2,22,,
SINetv2_C10_s45,SINetv2,C10,45,2,0127,099/100,121.2,True,5447,7467,2020,2,62,,
SINetv2_C10_s46,SINetv2,C10,46,2,0127,099/100,121.6,True,5447,7407,1960,2,30,0,
