runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINet_B_s42,SINet,B,42,COD10K,2026,0,done,0.711554,0.471675,0.076085,0.750617,0.740832,0.789028,0.533931,0.542620,0.579406
SINet_B_s43,SINet,B,43,COD10K,2026,0,done,0.713632,0.478008,0.076278,0.749502,0.745119,0.786634,0.536201,0.550851,0.583928
SINet_B_s45,SINet,B,45,COD10K,2026,0,done,0.715155,0.463606,0.075917,0.752423,0.740073,0.794794,0.541840,0.550878,0.592340
SINet_C10_s42,SINet,C10,42,COD10K,2026,0,done,0.717165,0.489664,0.073184,0.759609,0.751058,0.792598,0.546726,0.559297,0.592030
SINet_C10_s43,SINet,C10,43,COD10K,2026,0,done,0.723034,0.497380,0.075136,0.761521,0.757392,0.798605,0.551557,0.568329,0.600879
SINet_C10_s45,SINet,C10,45,COD10K,2026,0,done,0.715243,0.475278,0.078355,0.752674,0.743969,0.787083,0.543608,0.554319,0.589172
SINet_CINV_s42,SINet,CINV,42,COD10K,2026,0,done,0.722612,0.487237,0.073910,0.753551,0.756737,0.796301,0.541875,0.564231,0.597552
SINet_CINV_s43,SINet,CINV,43,COD10K,2026,0,done,0.717343,0.476461,0.077323,0.745751,0.750188,0.791954,0.531025,0.551414,0.585551
SINet_CINV_s45,SINet,CINV,45,COD10K,2026,0,done,0.718084,0.486938,0.073607,0.760605,0.748577,0.793940,0.549300,0.558849,0.595022
SINet_CSHUF_s42,SINet,CSHUF,42,COD10K,2026,0,done,0.718602,0.488405,0.074840,0.756040,0.754978,0.795872,0.543617,0.562178,0.593861
SINet_CSHUF_s43,SINet,CSHUF,43,COD10K,2026,0,done,0.716974,0.482244,0.077678,0.750945,0.747869,0.787015,0.538273,0.555289,0.588684
SINet_CSHUF_s45,SINet,CSHUF,45,COD10K,2026,0,done,0.715291,0.460755,0.079340,0.745467,0.739053,0.789163,0.531057,0.546397,0.586474
SINetv2_B_s42,SINetv2,B,42,COD10K,2026,0,done,0.698340,0.480306,0.092242,0.746399,0.750170,0.771119,0.520559,0.537219,0.558579
SINetv2_B_s43,SINetv2,B,43,COD10K,2026,0,done,0.689481,0.478444,0.089883,0.754123,0.753645,0.765622,0.523358,0.531215,0.544711
SINetv2_B_s45,SINetv2,B,45,COD10K,2026,0,done,0.697385,0.490593,0.087132,0.757126,0.758552,0.770687,0.532890,0.541870,0.555843
SINetv2_C10_s42,SINetv2,C10,42,COD10K,2026,0,done,0.692321,0.477856,0.093395,0.740293,0.751285,0.771908,0.514966,0.529100,0.549984
SINetv2_C10_s43,SINetv2,C10,43,COD10K,2026,0,done,0.696328,0.478677,0.090749,0.743452,0.751750,0.770018,0.517415,0.533992,0.554458
SINetv2_C10_s45,SINetv2,C10,45,COD10K,2026,0,done,0.695360,0.486758,0.089182,0.755022,0.759806,0.773168,0.527322,0.538632,0.553802
SINetv2_CINV_s42,SINetv2,CINV,42,COD10K,2026,0,done,0.697008,0.469542,0.088438,0.736393,0.750055,0.774657,0.510256,0.529027,0.552751
SINetv2_CINV_s43,SINetv2,CINV,43,COD10K,2026,0,done,0.696331,0.486681,0.087293,0.754167,0.758193,0.772670,0.526842,0.539049,0.556589
SINetv2_CINV_s45,SINetv2,CINV,45,COD10K,2026,0,done,0.697605,0.485232,0.090189,0.746353,0.756550,0.778013,0.523058,0.538314,0.557451
