runid,arch,arm,seed,rounds,total_step_set,last_epoch,wall_min,tea_best,pool_r1,pool_r2,n_appended,target_loaded_4040,best_epoch,returncode,failed_checks
SINet_CINV_s42,SINet,CINV,42,2,0253,039/040,106.1,True,5447,7396,1949,2,22,,
SINet_CINV_s43,SINet,CINV,43,2,0253,039/040,106.9,True,5447,7457,2010,2,29,,
SINet_CINV_s45,SINet,CINV,45,2,0253,039/040,107.2,True,5447,7504,2057,2,27,,
SINet_CSHUF_s42,SINet,CSHUF,42,2,0253,039/040,104.8,True,5447,7439,1992,2,28,,
SINet_CSHUF_s43,SINet,CSHUF,43,2,0253,039/040,106.3,True,5447,7461,2014,2,28,,
SINet_CSHUF_s45,SINet,CSHUF,45,2,0253,039/040,106.6,True,5447,7361,1914,2,21,,
SINetv2_CINV_s42,SINetv2,CINV,42,2,0127,099/100,126.7,True,5447,7584,2137,2,23,,
SINetv2_CINV_s43,SINetv2,CINV,43,2,0127,099/100,127.5,True,5447,7563,2116,2,99,,
SINetv2_CINV_s45,SINetv2,CINV,45,2,0127,099/100,120.6,True,5447,7630,2183,2,38,,
SINetv2_CSHUF_s42,SINetv2,CSHUF,42,2,0127,099/100,123.6,True,5447,7701,2254,2,23,,
SINetv2_CSHUF_s43,SINetv2,CSHUF,43,2,0127,099/100,127.0,True,5447,7725,2278,2,34,,
SINetv2_CSHUF_s45,SINetv2,CSHUF,45,2,0127,099/100,127.3,True,5447,7414,1967,2,62,,
