cluster,k,kmeans_seed,n_target,centroid_norm,n_test,test_es,test_mae,test_one_minus_sa,test_one_minus_iou,n_val,val_es,val_mae,val_one_minus_sa,val_one_minus_iou
0,75,0,54,0.8621873329809234,31,0.056645,0.090638,0.305025,0.59579,2,0.052943,0.088499,0.295209,0.518445
1,75,0,115,0.6590820833488884,70,0.043478,0.080343,0.336805,0.651046,2,0.09916,0.328391,0.591133,0.845431
2,75,0,14,0.8927473975460408,6,0.02924,0.031317,0.096296,0.23236,0,,,,
3,75,0,129,0.8825488872803972,94,0.04235,0.066207,0.313745,0.597385,1,0.031381,0.083889,0.508918,0.936814
4,75,0,31,0.6649086919680837,12,0.046678,0.098367,0.415991,0.790746,6,0.044998,0.083059,0.199691,0.397526
5,75,0,36,0.7427095221513805,14,0.059174,0.149764,0.373084,0.674849,3,0.065996,0.132198,0.288672,0.523609
6,75,0,45,0.5063966638441199,22,0.038075,0.06487,0.281973,0.52232,2,0.03797,0.042163,0.211812,0.433492
7,75,0,68,0.7473154577173863,47,0.048212,0.074678,0.33113,0.62903,2,0.077381,0.118757,0.245092,0.430751
8,75,0,24,0.7981739069129546,9,0.043356,0.090182,0.281606,0.565752,0,,,,
9,75,0,32,0.4608254198071448,3,0.021986,0.02169,0.17146,0.323124,2,0.023616,0.036842,0.18812,0.314102
10,75,0,26,0.9207078346937569,8,0.022423,0.022984,0.206638,0.421063,2,0.170606,0.36014,0.506485,0.680503
11,75,0,76,0.8063077870841463,38,0.04065,0.077542,0.348934,0.680382,3,0.06508,0.143615,0.413074,0.747069
12,75,0,32,0.7398159866004259,24,0.023181,0.025562,0.258456,0.56185,1,0.047356,0.058128,0.093419,0.200714
13,75,0,54,0.5884745891028811,24,0.064606,0.165343,0.411316,0.736984,1,0.114014,0.298873,0.505751,0.698317
14,75,0,65,0.7941520019276354,32,0.03752,0.04027,0.134275,0.276382,4,0.041417,0.121695,0.183466,0.355366
15,75,0,47,0.8113173181677787,16,0.043553,0.081791,0.26138,0.492846,3,0.053371,0.121039,0.310902,0.503058
16,75,0,45,0.7633022070242894,22,0.029302,0.040162,0.245503,0.512931,1,0.137308,0.232445,0.416576,0.698018
17,75,0,32,0.7317016024119346,6,0.046011,0.056178,0.230623,0.442247,4,0.1017,0.167735,0.318183,0.49367
18,75,0,108,0.2706497984068485,50,0.037645,0.07121,0.416354,0.805218,3,0.060978,0.09342,0.410432,0.78101
19,75,0,84,0.4783379678670219,66,0.063146,0.108198,0.373865,0.680518,1,0.099479,0.091024,0.106338,0.149862
20,75,0,61,0.7932613608582174,39,0.051859,0.100069,0.435392,0.827777,1,0.113213,0.194604,0.532588,0.882907
21,75,0,120,0.792549593934001,86,0.042649,0.066218,0.268269,0.518461,2,0.029004,0.118661,0.450278,0.78474
22,75,0,73,0.7554162874214865,24,0.032101,0.045593,0.224716,0.447547,5,0.057702,0.115555,0.227495,0.422793
23,75,0,42,0.8892857660997008,20,0.049765,0.073258,0.161743,0.296018,3,0.04525,0.098104,0.222934,0.364943
24,75,0,35,0.706467082437042,32,0.027451,0.035354,0.24317,0.481638,2,0.030906,0.037489,0.15063,0.263715
25,75,0,49,0.8015595296493906,14,0.028196,0.053129,0.143212,0.304648,2,0.062994,0.095738,0.183936,0.355757
26,75,0,112,0.8963974540629677,54,0.050325,0.073772,0.253732,0.504048,5,0.070592,0.14618,0.317405,0.571202
27,75,0,68,0.5893800918006425,44,0.039562,0.062226,0.174351,0.359963,1,0.029469,0.032541,0.06506,0.119935
28,75,0,29,0.8443020728777121,13,0.032949,0.051259,0.208929,0.435712,4,0.047001,0.064507,0.146008,0.304341
29,75,0,25,0.7430516947559164,9,0.033797,0.039936,0.214381,0.443612,1,0.134821,0.141921,0.194425,0.331241
30,75,0,19,0.8690073528805348,2,0.049336,0.07509,0.132389,0.272428,1,0.151388,0.216565,0.294708,0.234919
31,75,0,26,0.7098838298389663,16,0.018127,0.024065,0.184553,0.432312,2,0.037802,0.037451,0.062372,0.101555
32,75,0,68,0.42474160900107844,34,0.051995,0.094852,0.247205,0.469842,0,,,,
33,75,0,41,0.7801812236701203,17,0.107107,0.061816,0.206026,0.418116,5,0.047821,0.062978,0.22832,0.477507
34,75,0,71,0.41651564994754625,5,0.130683,0.217103,0.368371,0.59211,72,0.092401,0.227041,0.417108,0.679473
35,75,0,153,0.2462159890016219,58,0.05759,0.106067,0.405317,0.756699,1,0.110181,0.110569,0.25171,0.483837
36,75,0,14,0.7508334510626934,3,0.014694,0.019257,0.202385,0.465735,0,,,,
37,75,0,18,0.7621958102908479,10,0.044533,0.067168,0.247892,0.545573,1,0.024139,0.038949,0.119829,0.314687
38,75,0,53,0.5479936641823244,26,0.036362,0.058714,0.333833,0.689046,4,0.069258,0.086438,0.222069,0.387786
39,75,0,68,0.8196971729518331,41,0.036723,0.0496,0.194123,0.430732,2,0.156928,0.365448,0.583822,0.930238
40,75,0,28,0.7745649141479477,14,0.037211,0.090633,0.319115,0.587913,1,0.083761,0.286793,0.526329,0.815587
41,75,0,56,0.8414323390264713,22,0.043398,0.089606,0.320128,0.61687,4,0.064665,0.164846,0.33006,0.451742
42,75,0,91,0.7880241115010492,76,0.033921,0.050658,0.225309,0.487322,1,0.068919,0.165428,0.517585,0.963558
43,75,0,64,0.7792757541149334,26,0.058562,0.09212,0.306355,0.605763,1,0.116477,0.320065,0.56161,0.917044
44,75,0,16,0.8197009579260519,16,0.047,0.097297,0.259888,0.49621,0,,,,
45,75,0,14,0.6858777725473859,4,0.018652,0.02737,0.319413,0.634565,0,,,,
46,75,0,34,0.9153792029966848,24,0.065651,0.120775,0.221704,0.363871,4,0.072141,0.081273,0.129744,0.231719
47,75,0,28,0.7879822195363785,16,0.024866,0.043302,0.274091,0.604725,1,0.043422,0.073494,0.179001,0.383969
48,75,0,42,0.7254871350788966,36,0.034142,0.04234,0.191176,0.401393,1,0.102556,0.034879,0.070521,0.165836
49,75,0,18,0.811007886781931,3,0.045925,0.048609,0.117217,0.228145,5,0.062379,0.12762,0.319799,0.561346
50,75,0,35,0.7661050585616069,23,0.029306,0.036951,0.202339,0.411238,0,,,,
51,75,0,379,0.13910900501952195,79,0.034297,0.041494,0.235083,0.494262,7,0.043701,0.061342,0.163236,0.325031
