cluster,k,kmeans_seed,n_target,target_es,n_target_scored,centroid_norm,n_test,test_es,test_mae,test_one_minus_sa,test_one_minus_iou,n_val,val_es,val_mae,val_one_minus_sa,val_one_minus_iou
0,50,0,31,0.02906,31,0.8287741154434588,10,0.02385,0.027124,0.232614,0.484665,4,0.047001,0.064507,0.146008,0.304341
1,50,0,70,0.036884,70,0.7964517927194885,41,0.047749,0.07611,0.299225,0.574043,0,,,,
2,50,0,51,0.040163,51,0.8153210330030299,41,0.04707,0.076671,0.334375,0.637835,1,0.075474,0.132821,0.533383,0.888586
3,50,0,254,0.034747,254,0.8087657825207484,188,0.039107,0.063184,0.255341,0.511416,2,0.029004,0.118661,0.450278,0.78474
4,50,0,56,0.038502,56,0.5597558952716507,29,0.045843,0.078118,0.302564,0.580763,0,,,,
5,50,0,33,0.042847,33,0.8794498342515775,24,0.065651,0.120775,0.221704,0.363871,4,0.072141,0.081273,0.129744,0.231719
6,50,0,55,0.035198,55,0.7208496136187066,21,0.094574,0.065953,0.206387,0.419736,9,0.041203,0.063095,0.195534,0.402551
7,50,0,59,0.036529,59,0.7780356735054494,28,0.036903,0.038902,0.108029,0.217494,3,0.048682,0.155539,0.208939,0.376216
8,50,0,69,0.034671,69,0.8029021085292726,25,0.04104,0.051282,0.212862,0.430212,5,0.057702,0.115555,0.227495,0.422793
9,50,0,122,0.033187,122,0.4597104677745917,68,0.037789,0.057772,0.402357,0.792388,5,0.060224,0.210392,0.47377,0.820802
10,50,0,61,0.032127,61,0.815872937662334,34,0.037061,0.053319,0.172335,0.381793,2,0.156928,0.365448,0.583822,0.930238
11,50,0,245,0.031549,245,0.2748669409897545,89,0.031303,0.038308,0.224454,0.477603,7,0.052225,0.099755,0.230625,0.41959
12,50,0,56,0.039567,56,0.5285673387359943,33,0.055213,0.092082,0.233575,0.43759,3,0.092878,0.241582,0.391866,0.600969
13,50,0,67,0.040845,67,0.8144016307587012,43,0.045489,0.081879,0.330909,0.648796,3,0.055761,0.12082,0.300998,0.573017
14,50,0,176,0.051034,176,0.37017342507706735,61,0.040682,0.076303,0.350291,0.672169,94,0.087966,0.19638,0.378066,0.639936
15,50,0,45,0.035412,45,0.5586311107996855,26,0.043226,0.093227,0.434132,0.829332,1,0.033308,0.293814,0.587639,0.909756
16,50,0,31,0.037591,31,0.6354269668288848,12,0.033624,0.031169,0.12668,0.292097,0,,,,
17,50,0,71,0.038679,71,0.6051812414287584,34,0.053365,0.099549,0.302124,0.564842,4,0.068257,0.14563,0.337386,0.625803
18,50,0,44,0.038878,44,0.7836574560603399,15,0.044794,0.080649,0.240994,0.459036,2,0.049422,0.085889,0.275284,0.493199
19,50,0,27,0.060758,27,0.709590151691481,4,0.03632,0.048382,0.111404,0.233367,7,0.060579,0.082392,0.176535,0.363835
20,50,0,29,0.019005,29,0.7677854498116758,25,0.020697,0.02411,0.257595,0.565047,2,0.07681,0.221703,0.372346,0.580111
21,50,0,100,0.029662,100,0.8311011398606235,58,0.0357,0.047611,0.154978,0.324636,2,0.069133,0.122693,0.289967,0.574864
22,50,0,33,0.032731,33,0.6836303151917436,11,0.035709,0.092099,0.283011,0.521906,1,0.134821,0.141921,0.194425,0.331241
23,50,0,159,0.030599,159,0.3840342901759072,50,0.030714,0.054334,0.277956,0.550193,2,0.018866,0.085266,0.385412,0.656516
24,50,0,52,0.043121,52,0.8444970030697635,20,0.04252,0.09121,0.305062,0.586478,5,0.063986,0.170145,0.340476,0.465948
25,50,0,101,0.047704,101,0.48124721476984605,48,0.057055,0.122534,0.321176,0.597435,1,0.114014,0.298873,0.505751,0.698317
26,50,0,75,0.028533,75,0.7800281593444639,30,0.053853,0.0859,0.291886,0.581756,0,,,,
27,50,0,68,0.049238,68,0.7431906477079729,36,0.055957,0.097203,0.395725,0.761872,6,0.090778,0.152472,0.322405,0.530572
28,50,0,41,0.03518,41,0.7374581226745639,17,0.022876,0.029242,0.158199,0.378061,6,0.047835,0.096225,0.242716,0.424217
29,50,0,71,0.030201,71,0.5599467977066024,48,0.031705,0.049415,0.227311,0.448651,4,0.034438,0.039826,0.181221,0.348604
30,50,0,38,0.034519,38,0.845195885924406,27,0.02938,0.042192,0.221547,0.445931,1,0.062409,0.047418,0.393251,0.553786
