embedder,k,is_k_star,split,n_images,clusters_used_lo,clusters_used_hi,silhouette,rho_mae,sd_mae,degenerate_mae,perimage_mae,rho_one_minus_sa,sd_one_minus_sa,degenerate_one_minus_sa,perimage_one_minus_sa,rho_one_minus_iou,sd_one_minus_iou,degenerate_one_minus_iou,perimage_one_minus_iou,ratio_1mSa_over_MAE
dinoL224,20,0,test,2026,19,20,0.118,0.8767,0.0184,0,0.7514,0.6095,0.0443,0,0.3114,0.5447,0.0573,0,0.2015,0.6952
dinoL224,20,0,val,250,2,3,0.118,,,1,0.6604,,,1,0.3888,,,1,0.2495,
dinoL224,50,1,test,2026,40,43,0.1465,0.8731,0.0167,0,0.7514,0.4295,0.0517,0,0.3114,0.3202,0.0437,0,0.2015,0.4919
dinoL224,50,1,val,250,1,2,0.1465,,,1,0.6604,,,1,0.3888,,,1,0.2495,
dinoL518,20,0,test,2026,19,20,0.1326,0.8699,0.0297,0,0.7514,0.5067,0.0725,0,0.3114,0.406,0.0884,0,0.2015,0.5825
dinoL518,20,0,val,250,1,4,0.1326,,,1,0.6604,,,1,0.3888,,,1,0.2495,
dinoL518,75,1,test,2026,50,53,0.16,0.8553,0.0264,0,0.7514,0.4276,0.0461,0,0.3114,0.2983,0.0564,0,0.2015,0.4999
dinoL518,75,1,val,250,2,2,0.16,,,1,0.6604,,,1,0.3888,,,1,0.2495,
clipL224,5,1,test,2026,5,5,0.0568,1.0,0.0,0,0.7514,0.6,0.0,0,0.3114,0.6,0.0,0,0.2015,0.6
clipL224,5,1,val,250,5,5,0.0568,0.9,0.0,0,0.6604,0.8,0.0,0,0.3888,0.74,0.12,0,0.2495,0.8889
clipL224,20,0,test,2026,18,20,0.0486,0.8933,0.0247,0,0.7514,0.5102,0.0439,0,0.3114,0.3948,0.057,0,0.2015,0.5711
clipL224,20,0,val,250,1,4,0.0486,,,1,0.6604,,,1,0.3888,,,1,0.2495,
