tag,B,repr,cluster,d_heldout_mean,d_heldout_sd
dinoL518,250,R2_cut,30,1.17213,0.13319
dinoL518,250,R3_render,30,1.06338,0.11601
dinoL518,500,R2_cut,30,0.90953,0.08704
dinoL518,500,R3_render,30,0.78653,0.07218
dinoL518,1000,R2_cut,30,0.7589,0.07748
dinoL518,1000,R3_render,30,0.62179,0.06596
dinoL518,2000,R2_cut,30,0.45899,0.04064
dinoL518,2000,R3_render,30,0.3544,0.04555
dinoL518,3000,R2_cut,30,0.2369,0.02652
dinoL518,3000,R3_render,30,0.1671,0.0288
dinoL518,4447,R2_cut,30,-0.34728,0.01654
dinoL518,4447,R3_render,30,-0.33243,0.03031
dinoL224,250,R2_cut,19,1.45816,0.13148
dinoL224,250,R3_render,19,1.30519,0.11058
dinoL224,500,R2_cut,19,1.29096,0.10486
dinoL224,500,R3_render,19,1.05393,0.09945
dinoL224,1000,R2_cut,19,1.02425,0.04941
dinoL224,1000,R3_render,19,0.81217,0.04599
dinoL224,2000,R2_cut,19,0.58129,0.05028
dinoL224,2000,R3_render,19,0.43929,0.04588
dinoL224,3000,R2_cut,19,0.26811,0.03327
dinoL224,3000,R3_render,19,0.18912,0.02843
dinoL224,4447,R2_cut,19,-0.30679,0.02134
dinoL224,4447,R3_render,19,-0.3099,0.03549
