tag,B,alpha,repr,k,clusters_funded,max_alloc_share,alloc_entropy_norm,tv_from_uniform,n_displaced,degenerate,norm_dmean,d_insample,d_heldout,d_heldout_sd,d_heldout_min,d_heldout_max,ci_lo,ci_hi,band_lo,band_hi,ci_straddles_band,d_order_spread,ORDER_SENSITIVE
dinoL518,250,0.02,R2_cut,75,1,1.0,0.0,0.98667,0,1,0.232525,1.335599,1.172134,0.133194,0.974867,1.486021,0.856899,1.53997,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.02,R3_render,75,1,1.0,0.0,0.98667,0,1,0.22212,1.229207,1.063382,0.116007,0.91648,1.318389,0.774529,1.392437,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.05,R2_cut,75,1,1.0,0.00292,0.98495,0,1,0.232525,1.335599,1.172134,0.133194,0.974867,1.486021,0.856899,1.53997,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.05,R3_render,75,1,1.0,0.00292,0.98495,0,1,0.22212,1.229207,1.063382,0.116007,0.91648,1.318389,0.774529,1.392437,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.1,R2_cut,75,2,0.96,0.03894,0.97325,0,1,0.230242,1.308574,1.121369,0.138069,0.915053,1.406002,0.79636,1.477638,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.1,R3_render,75,2,0.96,0.03894,0.97325,0,1,0.219366,1.206531,1.025943,0.124373,0.833443,1.277703,0.715457,1.356943,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.2,R2_cut,75,4,0.82,0.11979,0.9626,0,0,0.22593,1.313732,1.113459,0.151139,0.837186,1.400774,0.762633,1.495291,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.2,R3_render,75,4,0.82,0.11979,0.9626,0,0,0.212946,1.194957,0.999263,0.147335,0.764951,1.323044,0.67283,1.370794,REOPENS,REOPENS,0,0.0,0
dinoL518,250,0.5,R2_cut,75,18,0.508,0.36203,0.85906,15,0,0.200967,1.301507,1.047341,0.130982,0.782043,1.285266,0.703073,1.363696,REOPENS,REOPENS,0,0.032891,0
dinoL518,250,0.5,R3_render,75,18,0.508,0.36203,0.85906,15,0,0.191423,1.266152,1.002795,0.131731,0.74326,1.265585,0.661173,1.330095,REOPENS,REOPENS,0,0.024014,0
dinoL518,250,1.0,R2_cut,75,68,0.192,0.78644,0.49253,69,0,0.149313,1.283123,0.828949,0.108954,0.606293,1.051908,0.535671,1.14123,REOPENS,REOPENS,0,0.113767,1
dinoL518,250,1.0,R3_render,75,68,0.192,0.78644,0.49253,69,0,0.143923,1.247249,0.770964,0.101821,0.568034,0.942796,0.472916,1.061631,AMBIGUOUS,REOPENS,1,0.064451,1
dinoL518,250,2.0,R2_cut,75,75,0.064,0.95839,0.21106,94,0,0.119934,1.901409,0.731862,0.127628,0.434991,0.992696,0.365583,1.098267,AMBIGUOUS,REOPENS,1,0.161213,1
dinoL518,250,2.0,R3_render,75,75,0.064,0.95839,0.21106,94,0,0.118688,1.754006,0.692338,0.142982,0.438729,0.908082,0.307047,1.057098,AMBIGUOUS,REOPENS,1,0.159676,1
dinoL518,250,5.0,R2_cut,75,75,0.024,0.99466,0.07567,105,0,0.115958,1.87763,0.673981,0.118799,0.480799,0.858191,0.338017,1.031915,AMBIGUOUS,REOPENS,1,0.126354,1
dinoL518,250,5.0,R3_render,75,75,0.024,0.99466,0.07567,105,0,0.11409,1.659492,0.580206,0.155868,0.291235,0.870788,0.181525,0.978072,CONFIRMED,REOPENS,1,0.175498,1
dinoL518,250,10.0,R2_cut,75,75,0.02,0.99876,0.03672,102,0,0.115722,1.891609,0.670519,0.149795,0.39937,0.973601,0.287823,1.063173,AMBIGUOUS,REOPENS,1,0.080211,1
dinoL518,250,10.0,R3_render,75,75,0.02,0.99876,0.03672,102,0,0.113599,1.654537,0.559204,0.153696,0.305434,0.913523,0.196802,0.977726,CONFIRMED,REOPENS,1,0.160901,1
dinoL518,250,20.0,R2_cut,75,75,0.016,0.9997,0.01815,99,0,0.115326,1.856962,0.646369,0.146816,0.324245,0.873474,0.244641,1.021505,AMBIGUOUS,REOPENS,1,0.100171,1
dinoL518,250,20.0,R3_render,75,75,0.016,0.9997,0.01815,99,0,0.114018,1.629108,0.557793,0.170792,0.216959,0.915713,0.127573,0.983287,CONFIRMED,REOPENS,1,0.110725,1
dinoL518,250,40.0,R2_cut,75,75,0.016,0.99993,0.00903,99,0,0.115326,1.856962,0.646369,0.146816,0.324245,0.873474,0.244641,1.021505,AMBIGUOUS,REOPENS,1,0.100171,1
dinoL518,250,40.0,R3_render,75,75,0.016,0.99993,0.00903,99,0,0.114018,1.629108,0.557793,0.170792,0.216959,0.915713,0.127573,0.983287,CONFIRMED,REOPENS,1,0.110725,1
dinoL518,500,0.02,R2_cut,75,1,1.0,0.0,0.98667,0,1,0.152883,1.145253,0.909526,0.087041,0.756203,1.132701,0.684596,1.1684,REOPENS,REOPENS,0,0.0,0
dinoL518,500,0.02,R3_render,75,1,1.0,0.0,0.98667,0,1,0.145602,1.000854,0.786533,0.072184,0.688817,1.008343,0.583983,1.034212,REOPENS,REOPENS,0,0.0,0
dinoL518,500,0.05,R2_cut,75,2,0.998,0.00292,0.98495,0,1,0.152585,1.141321,0.921154,0.074595,0.798253,1.117629,0.711717,1.163975,REOPENS,REOPENS,0,0.0,0
dinoL518,500,0.05,R3_render,75,2,0.998,0.00292,0.98495,0,1,0.145151,0.997732,0.796646,0.072586,0.684293,0.983041,0.591792,1.036744,REOPENS,REOPENS,0,0.0,0
dinoL518,500,0.1,R2_cut,75,2,0.96,0.03894,0.97325,2,1,0.149132,1.12789,0.912603,0.098099,0.756838,1.114454,0.66516,1.173461,REOPENS,REOPENS,0,0.000243,0
dinoL518,500,0.1,R3_render,75,2,0.96,0.03894,0.97325,2,1,0.140651,0.982236,0.779877,0.08347,0.620208,0.925868,0.549972,1.013516,REOPENS,REOPENS,0,0.005535,0
dinoL518,500,0.2,R2_cut,75,4,0.822,0.11979,0.9626,3,0,0.140083,1.144853,0.858215,0.080566,0.674151,1.036658,0.625355,1.086344,REOPENS,REOPENS,0,0.054042,1
dinoL518,500,0.2,R3_render,75,4,0.822,0.11979,0.9626,3,0,0.128277,1.02773,0.732902,0.073779,0.54164,0.883012,0.50756,0.947784,REOPENS,REOPENS,0,0.069629,1
dinoL518,500,0.5,R2_cut,75,25,0.51,0.36203,0.85906,34,0,0.133882,1.231694,0.929725,0.130404,0.605231,1.148973,0.604851,1.237093,REOPENS,REOPENS,0,0.068354,1
dinoL518,500,0.5,R3_render,75,25,0.51,0.36203,0.85906,34,0,0.126928,1.122256,0.821518,0.108119,0.539796,1.084875,0.532599,1.120796,REOPENS,REOPENS,0,0.064258,1
dinoL518,500,1.0,R2_cut,75,75,0.194,0.78644,0.49253,141,0,0.108894,1.120547,0.684778,0.083005,0.523548,0.908742,0.470705,0.950434,AMBIGUOUS,REOPENS,1,0.082431,1
dinoL518,500,1.0,R3_render,75,75,0.194,0.78644,0.49253,141,0,0.106223,1.046448,0.637573,0.081597,0.502702,0.868843,0.41732,0.893475,AMBIGUOUS,REOPENS,1,0.065534,1
dinoL518,500,2.0,R2_cut,75,75,0.062,0.95839,0.21106,183,0,0.094615,1.348586,0.628065,0.108931,0.335187,0.790204,0.317301,0.881031,AMBIGUOUS,REOPENS,1,0.075317,1
dinoL518,500,2.0,R3_render,75,75,0.062,0.95839,0.21106,183,0,0.092449,1.197435,0.567921,0.11291,0.263295,0.748491,0.243744,0.833155,AMBIGUOUS,REOPENS,1,0.097709,1
