tag,repr,B,target_recall_A,target_recall_R,target_recall_delta,mean_top1_sim_A,mean_top1_sim_R,mean_top1_sim_delta,mean_topk_sim_A,mean_topk_sim_R
dinoL518,R2_cut,250,1.0,1.0,0.0,0.17482134509831676,0.14189658067293737,0.032924764425379394,0.10996113758269939,0.09987728622728959
dinoL518,R2_cut,500,0.998,1.0,-0.0020000000000000018,0.19925835136430856,0.17740807144436765,0.0218502799199409,0.13149762782477864,0.1263788588299496
dinoL518,R2_cut,1000,0.983,0.986,-0.0030000000000000027,0.22750560413853166,0.22195534731314676,0.005550256825384903,0.15384370583822804,0.15221824762497815
dinoL518,R2_cut,2000,0.881,0.896,-0.015000000000000013,0.27307140723669987,0.3033136187656437,-0.030242211528943852,0.18596376805150894,0.1902915320848725
dinoL518,R2_cut,3000,0.7666666666666667,0.768,-0.0013333333333332975,0.3080081524794304,0.3038727484218637,0.004135404057566738,0.20522619465711064,0.20261911176286454
dinoL518,R3_render,250,1.0,1.0,0.0,0.20641223768995717,0.15519558486484142,0.051216652825115755,0.1317938344063053,0.11228687240017783
dinoL518,R3_render,500,0.992,0.998,-0.006000000000000005,0.24060734531071848,0.1839511563649799,0.05665618894573857,0.15838575455179724,0.13711969880645838
dinoL518,R3_render,1000,0.954,0.975,-0.02100000000000002,0.2977611573994579,0.2447448667099021,0.05301629068955582,0.1906257370476361,0.16649267828718162
dinoL518,R3_render,2000,0.8165,0.8365,-0.020000000000000018,0.3472002224278307,0.32152716754491506,0.025673054882915658,0.22267685329672632,0.20412592552099876
dinoL518,R3_render,3000,0.7183333333333334,0.7396666666666667,-0.021333333333333315,0.3553188757506884,0.3161130387413444,0.03920583700934399,0.23380906241279234,0.2147292191977701
dinoL224,R2_cut,250,1.0,1.0,0.0,0.3188284856258704,0.17458033432090705,0.14424815130496335,0.216297404461344,0.13079428971227802
dinoL224,R2_cut,500,0.998,0.996,0.0020000000000000018,0.33487435970602736,0.20799806113060815,0.1268762985754192,0.23297933652716202,0.16029854274592367
dinoL224,R2_cut,1000,0.941,0.942,-0.0010000000000000009,0.34377658223157903,0.25014370523387386,0.09363287699770517,0.24373850984006218,0.18503379049219285
dinoL224,R2_cut,2000,0.8225,0.7835,0.039000000000000035,0.35404222315894807,0.32327203774140795,0.03077018541754012,0.2551716886980733,0.22487488253275786
dinoL224,R2_cut,3000,0.69,0.6573333333333333,0.03266666666666662,0.35979102956310194,0.32129048501610424,0.038500544546997695,0.2605463350481873,0.23461906080266356
dinoL224,R3_render,250,0.996,0.996,0.0,0.260460527847943,0.1929091174040675,0.0675514104438755,0.1870457459745824,0.1499021848358228
dinoL224,R3_render,500,0.972,0.98,-0.008000000000000007,0.3183169586835634,0.23320908120909944,0.08510787747446397,0.22395646450702567,0.1788015492859131
dinoL224,R3_render,1000,0.925,0.913,0.01200000000000001,0.3491151685455788,0.25332916127100824,0.09578600727457054,0.24779571666134265,0.2007660053427936
dinoL224,R3_render,2000,0.7915,0.7625,0.029000000000000026,0.3654126842514244,0.32538512113362295,0.04002756311780148,0.2640789369575154,0.23700082871421913
dinoL224,R3_render,3000,0.666,0.65,0.016000000000000014,0.37153237147128026,0.3368339515732501,0.034698419898030186,0.2719533128494783,0.24934853643871505
