tag,B,alpha,repr,draw,norm_dmean,d_insample,d_heldout
dinoL518,250,0.02,R2_cut,0,0.234816,1.348327,1.031637
dinoL518,250,0.02,R2_cut,1,0.23311,1.356916,1.212763
dinoL518,250,0.02,R2_cut,2,0.229897,1.330411,1.189043
dinoL518,250,0.02,R2_cut,3,0.230305,1.281698,1.303611
dinoL518,250,0.02,R2_cut,4,0.237207,1.391618,1.343261
dinoL518,250,0.02,R2_cut,5,0.232806,1.313027,1.313786
dinoL518,250,0.02,R2_cut,6,0.226385,1.289287,1.092034
dinoL518,250,0.02,R2_cut,7,0.234926,1.336589,1.135924
dinoL518,250,0.02,R2_cut,8,0.235646,1.381147,1.238603
dinoL518,250,0.02,R2_cut,9,0.235966,1.372826,1.254468
dinoL518,250,0.02,R2_cut,10,0.233727,1.328418,1.182158
dinoL518,250,0.02,R2_cut,11,0.222495,1.234581,0.974867
dinoL518,250,0.02,R2_cut,12,0.232286,1.327243,1.0168
dinoL518,250,0.02,R2_cut,13,0.230725,1.341478,1.278175
dinoL518,250,0.02,R2_cut,14,0.236373,1.389791,1.011186
dinoL518,250,0.02,R2_cut,15,0.235758,1.364883,1.203254
dinoL518,250,0.02,R2_cut,16,0.237227,1.379469,1.126852
dinoL518,250,0.02,R2_cut,17,0.225405,1.253511,0.993138
dinoL518,250,0.02,R2_cut,18,0.226816,1.308631,1.055095
dinoL518,250,0.02,R2_cut,19,0.238626,1.382132,1.486021
dinoL518,250,0.02,R3_render,0,0.22595,1.260226,0.936551
dinoL518,250,0.02,R3_render,1,0.219625,1.252485,1.11007
dinoL518,250,0.02,R3_render,2,0.220581,1.231041,1.016333
dinoL518,250,0.02,R3_render,3,0.219371,1.165085,1.159182
dinoL518,250,0.02,R3_render,4,0.226805,1.286077,1.257082
dinoL518,250,0.02,R3_render,5,0.220882,1.197714,1.168964
dinoL518,250,0.02,R3_render,6,0.215755,1.191054,1.025664
dinoL518,250,0.02,R3_render,7,0.227754,1.235359,1.034918
dinoL518,250,0.02,R3_render,8,0.225723,1.272561,1.101825
dinoL518,250,0.02,R3_render,9,0.222165,1.238439,1.162007
dinoL518,250,0.02,R3_render,10,0.224751,1.258125,1.152209
dinoL518,250,0.02,R3_render,11,0.213124,1.137861,0.91648
dinoL518,250,0.02,R3_render,12,0.220336,1.230632,0.917195
dinoL518,250,0.02,R3_render,13,0.219304,1.215234,1.147515
dinoL518,250,0.02,R3_render,14,0.230321,1.284628,0.940381
dinoL518,250,0.02,R3_render,15,0.227189,1.261916,1.055231
dinoL518,250,0.02,R3_render,16,0.222973,1.250318,0.951478
dinoL518,250,0.02,R3_render,17,0.214484,1.154683,0.939801
dinoL518,250,0.02,R3_render,18,0.216604,1.193519,0.956373
dinoL518,250,0.02,R3_render,19,0.228712,1.267181,1.318389
dinoL518,250,0.05,R2_cut,0,0.234816,1.348327,1.031637
dinoL518,250,0.05,R2_cut,1,0.23311,1.356916,1.212763
dinoL518,250,0.05,R2_cut,2,0.229897,1.330411,1.189043
dinoL518,250,0.05,R2_cut,3,0.230305,1.281698,1.303611
dinoL518,250,0.05,R2_cut,4,0.237207,1.391618,1.343261
dinoL518,250,0.05,R2_cut,5,0.232806,1.313027,1.313786
dinoL518,250,0.05,R2_cut,6,0.226385,1.289287,1.092034
dinoL518,250,0.05,R2_cut,7,0.234926,1.336589,1.135924
dinoL518,250,0.05,R2_cut,8,0.235646,1.381147,1.238603
dinoL518,250,0.05,R2_cut,9,0.235966,1.372826,1.254468
dinoL518,250,0.05,R2_cut,10,0.233727,1.328418,1.182158
dinoL518,250,0.05,R2_cut,11,0.222495,1.234581,0.974867
dinoL518,250,0.05,R2_cut,12,0.232286,1.327243,1.0168
dinoL518,250,0.05,R2_cut,13,0.230725,1.341478,1.278175
dinoL518,250,0.05,R2_cut,14,0.236373,1.389791,1.011186
dinoL518,250,0.05,R2_cut,15,0.235758,1.364883,1.203254
dinoL518,250,0.05,R2_cut,16,0.237227,1.379469,1.126852
dinoL518,250,0.05,R2_cut,17,0.225405,1.253511,0.993138
dinoL518,250,0.05,R2_cut,18,0.226816,1.308631,1.055095
dinoL518,250,0.05,R2_cut,19,0.238626,1.382132,1.486021
dinoL518,250,0.05,R3_render,0,0.22595,1.260226,0.936551
dinoL518,250,0.05,R3_render,1,0.219625,1.252485,1.11007
dinoL518,250,0.05,R3_render,2,0.220581,1.231041,1.016333
dinoL518,250,0.05,R3_render,3,0.219371,1.165085,1.159182
dinoL518,250,0.05,R3_render,4,0.226805,1.286077,1.257082
dinoL518,250,0.05,R3_render,5,0.220882,1.197714,1.168964
dinoL518,250,0.05,R3_render,6,0.215755,1.191054,1.025664
dinoL518,250,0.05,R3_render,7,0.227754,1.235359,1.034918
dinoL518,250,0.05,R3_render,8,0.225723,1.272561,1.101825
dinoL518,250,0.05,R3_render,9,0.222165,1.238439,1.162007
dinoL518,250,0.05,R3_render,10,0.224751,1.258125,1.152209
dinoL518,250,0.05,R3_render,11,0.213124,1.137861,0.91648
dinoL518,250,0.05,R3_render,12,0.220336,1.230632,0.917195
dinoL518,250,0.05,R3_render,13,0.219304,1.215234,1.147515
dinoL518,250,0.05,R3_render,14,0.230321,1.284628,0.940381
dinoL518,250,0.05,R3_render,15,0.227189,1.261916,1.055231
dinoL518,250,0.05,R3_render,16,0.222973,1.250318,0.951478
dinoL518,250,0.05,R3_render,17,0.214484,1.154683,0.939801
dinoL518,250,0.05,R3_render,18,0.216604,1.193519,0.956373
dinoL518,250,0.05,R3_render,19,0.228712,1.267181,1.318389
dinoL518,250,0.1,R2_cut,0,0.232475,1.32064,0.926663
dinoL518,250,0.1,R2_cut,1,0.230879,1.330522,0.915053
dinoL518,250,0.1,R2_cut,2,0.228281,1.313823,1.047756
dinoL518,250,0.1,R2_cut,3,0.227666,1.251849,1.126406
dinoL518,250,0.1,R2_cut,4,0.234451,1.356669,1.233172
dinoL518,250,0.1,R2_cut,5,0.229998,1.28104,1.327257
dinoL518,250,0.1,R2_cut,6,0.224867,1.27209,0.978553
dinoL518,250,0.1,R2_cut,7,0.233238,1.317853,1.284679
dinoL518,250,0.1,R2_cut,8,0.233244,1.35143,1.177882
dinoL518,250,0.1,R2_cut,9,0.233288,1.340739,1.231704
dinoL518,250,0.1,R2_cut,10,0.232181,1.311571,1.133494
dinoL518,250,0.1,R2_cut,11,0.220508,1.213312,1.027214
dinoL518,250,0.1,R2_cut,12,0.230139,1.303206,1.110512
dinoL518,250,0.1,R2_cut,13,0.228599,1.316389,1.293329
dinoL518,250,0.1,R2_cut,14,0.233577,1.35323,1.078656
dinoL518,250,0.1,R2_cut,15,0.233167,1.332275,1.028975
dinoL518,250,0.1,R2_cut,16,0.234266,1.341804,1.161653
dinoL518,250,0.1,R2_cut,17,0.223139,1.227938,0.971532
dinoL518,250,0.1,R2_cut,18,0.22471,1.284205,0.966877
dinoL518,250,0.1,R2_cut,19,0.236163,1.350885,1.406002
dinoL518,250,0.1,R3_render,0,0.223023,1.234676,0.870676
dinoL518,250,0.1,R3_render,1,0.218061,1.242661,0.833443
dinoL518,250,0.1,R3_render,2,0.21798,1.211326,0.916147
dinoL518,250,0.1,R3_render,3,0.216168,1.139526,1.014635
dinoL518,250,0.1,R3_render,4,0.223875,1.260624,1.131166
dinoL518,250,0.1,R3_render,5,0.217881,1.17331,1.168304
dinoL518,250,0.1,R3_render,6,0.213383,1.173023,0.922273
dinoL518,250,0.1,R3_render,7,0.224846,1.212003,1.185948
dinoL518,250,0.1,R3_render,8,0.223261,1.253304,1.023554
dinoL518,250,0.1,R3_render,9,0.219756,1.221497,1.151526
dinoL518,250,0.1,R3_render,10,0.222699,1.242127,1.077862
dinoL518,250,0.1,R3_render,11,0.210289,1.114476,0.960549
dinoL518,250,0.1,R3_render,12,0.217309,1.204965,1.049481
dinoL518,250,0.1,R3_render,13,0.216565,1.19193,1.208412
dinoL518,250,0.1,R3_render,14,0.226737,1.25033,1.020777
dinoL518,250,0.1,R3_render,15,0.224294,1.236635,0.96282
dinoL518,250,0.1,R3_render,16,0.220323,1.229568,0.979382
dinoL518,250,0.1,R3_render,17,0.211809,1.133154,0.90207
dinoL518,250,0.1,R3_render,18,0.214008,1.173432,0.86213
dinoL518,250,0.1,R3_render,19,0.225052,1.232055,1.277703
dinoL518,250,0.2,R2_cut,0,0.227119,1.309713,1.021362
dinoL518,250,0.2,R2_cut,1,0.227395,1.347602,1.125477
dinoL518,250,0.2,R2_cut,2,0.224814,1.333449,1.281098
dinoL518,250,0.2,R2_cut,3,0.221269,1.23271,1.08855
dinoL518,250,0.2,R2_cut,4,0.229841,1.359927,1.400774
dinoL518,250,0.2,R2_cut,5,0.224353,1.268927,1.067082
dinoL518,250,0.2,R2_cut,6,0.222494,1.300745,0.837186
dinoL518,250,0.2,R2_cut,7,0.229983,1.338114,1.371572
dinoL518,250,0.2,R2_cut,8,0.22838,1.351418,1.139401
dinoL518,250,0.2,R2_cut,9,0.227837,1.334582,1.225802
dinoL518,250,0.2,R2_cut,10,0.229915,1.341434,1.1766
dinoL518,250,0.2,R2_cut,11,0.217824,1.237993,0.867314
dinoL518,250,0.2,R2_cut,12,0.226056,1.311848,1.070193
dinoL518,250,0.2,R2_cut,13,0.223858,1.314847,1.275595
dinoL518,250,0.2,R2_cut,14,0.228471,1.343861,0.952274
dinoL518,250,0.2,R2_cut,15,0.228789,1.336308,0.994895
dinoL518,250,0.2,R2_cut,16,0.228269,1.325254,1.044126
dinoL518,250,0.2,R2_cut,17,0.21975,1.240747,0.952866
dinoL518,250,0.2,R2_cut,18,0.221168,1.301243,1.144147
dinoL518,250,0.2,R2_cut,19,0.231018,1.34392,1.232858
dinoL518,250,0.2,R3_render,0,0.2165,1.220816,0.953217
dinoL518,250,0.2,R3_render,1,0.214552,1.261888,1.054312
dinoL518,250,0.2,R3_render,2,0.211164,1.199028,1.116106
dinoL518,250,0.2,R3_render,3,0.208322,1.115125,0.926369
dinoL518,250,0.2,R3_render,4,0.217725,1.253997,1.323044
dinoL518,250,0.2,R3_render,5,0.210622,1.151403,0.993663
dinoL518,250,0.2,R3_render,6,0.207119,1.16042,0.764951
dinoL518,250,0.2,R3_render,7,0.217649,1.195614,1.187676
dinoL518,250,0.2,R3_render,8,0.215992,1.230315,0.984558
dinoL518,250,0.2,R3_render,9,0.213003,1.207336,1.123245
dinoL518,250,0.2,R3_render,10,0.218696,1.255841,1.129998
