tag,B,alpha,repr,d_heldout,ci_draws_lo,ci_draws_hi,ci_boot_lo,ci_boot_hi,ci_combined_lo,ci_combined_hi,band_lo,band_hi,ci_straddles_band
dinoL518,250,0.02,R2_cut,1.172134,0.983546,1.41821,0.856899,1.53997,0.856899,1.53997,REOPENS,REOPENS,0
dinoL518,250,0.02,R3_render,1.063382,0.916819,1.289268,0.774529,1.392437,0.774529,1.392437,REOPENS,REOPENS,0
dinoL518,250,0.05,R2_cut,1.172134,0.983546,1.41821,0.856899,1.53997,0.856899,1.53997,REOPENS,REOPENS,0
dinoL518,250,0.05,R3_render,1.063382,0.916819,1.289268,0.774529,1.392437,0.774529,1.392437,REOPENS,REOPENS,0
dinoL518,250,0.1,R2_cut,1.121369,0.920568,1.368598,0.79636,1.477638,0.79636,1.477638,REOPENS,REOPENS,0
dinoL518,250,0.1,R3_render,1.025943,0.847069,1.24479,0.715457,1.356943,0.715457,1.356943,REOPENS,REOPENS,0
dinoL518,250,0.2,R2_cut,1.113459,0.851497,1.386903,0.762633,1.495291,0.762633,1.495291,REOPENS,REOPENS,0
dinoL518,250,0.2,R3_render,0.999263,0.768063,1.259225,0.67283,1.370794,0.67283,1.370794,REOPENS,REOPENS,0
dinoL518,250,0.5,R2_cut,1.047341,0.809341,1.259249,0.703073,1.363696,0.703073,1.363696,REOPENS,REOPENS,0
dinoL518,250,0.5,R3_render,1.002795,0.763028,1.214146,0.661173,1.330095,0.661173,1.330095,REOPENS,REOPENS,0
dinoL518,250,1.0,R2_cut,0.828949,0.660245,1.017129,0.535671,1.14123,0.535671,1.14123,REOPENS,REOPENS,0
dinoL518,250,1.0,R3_render,0.770964,0.598343,0.925978,0.472916,1.061631,0.472916,1.061631,AMBIGUOUS,REOPENS,1
dinoL518,250,2.0,R2_cut,0.731862,0.48746,0.949168,0.365583,1.098267,0.365583,1.098267,AMBIGUOUS,REOPENS,1
dinoL518,250,2.0,R3_render,0.692338,0.444701,0.902215,0.307047,1.057098,0.307047,1.057098,AMBIGUOUS,REOPENS,1
dinoL518,250,5.0,R2_cut,0.673981,0.489361,0.852005,0.338017,1.031915,0.338017,1.031915,AMBIGUOUS,REOPENS,1
dinoL518,250,5.0,R3_render,0.580206,0.300616,0.860128,0.181525,0.978072,0.181525,0.978072,CONFIRMED,REOPENS,1
dinoL518,250,10.0,R2_cut,0.670519,0.427644,0.92539,0.287823,1.063173,0.287823,1.063173,AMBIGUOUS,REOPENS,1
dinoL518,250,10.0,R3_render,0.559204,0.340807,0.851596,0.196802,0.977726,0.196802,0.977726,CONFIRMED,REOPENS,1
dinoL518,250,20.0,R2_cut,0.646369,0.366577,0.871194,0.244641,1.021505,0.244641,1.021505,AMBIGUOUS,REOPENS,1
dinoL518,250,20.0,R3_render,0.557793,0.231635,0.864115,0.127573,0.983287,0.127573,0.983287,CONFIRMED,REOPENS,1
dinoL518,250,40.0,R2_cut,0.646369,0.366577,0.871194,0.244641,1.021505,0.244641,1.021505,AMBIGUOUS,REOPENS,1
dinoL518,250,40.0,R3_render,0.557793,0.231635,0.864115,0.127573,0.983287,0.127573,0.983287,CONFIRMED,REOPENS,1
dinoL518,500,0.02,R2_cut,0.909526,0.768121,1.087942,0.684596,1.1684,0.684596,1.1684,REOPENS,REOPENS,0
dinoL518,500,0.02,R3_render,0.786533,0.689464,0.956266,0.583983,1.034212,0.583983,1.034212,REOPENS,REOPENS,0
dinoL518,500,0.05,R2_cut,0.921154,0.805278,1.078508,0.711717,1.163975,0.711717,1.163975,REOPENS,REOPENS,0
dinoL518,500,0.05,R3_render,0.796646,0.69602,0.955337,0.591792,1.036744,0.591792,1.036744,REOPENS,REOPENS,0
dinoL518,500,0.1,R2_cut,0.912603,0.763612,1.088284,0.66516,1.173461,0.66516,1.173461,REOPENS,REOPENS,0
dinoL518,500,0.1,R3_render,0.779877,0.64304,0.912915,0.549972,1.013516,0.549972,1.013516,REOPENS,REOPENS,0
dinoL518,500,0.2,R2_cut,0.858215,0.702267,1.004994,0.625355,1.086344,0.625355,1.086344,REOPENS,REOPENS,0
dinoL518,500,0.2,R3_render,0.732902,0.593837,0.862448,0.50756,0.947784,0.50756,0.947784,REOPENS,REOPENS,0
dinoL518,500,0.5,R2_cut,0.929725,0.685444,1.139201,0.604851,1.237093,0.604851,1.237093,REOPENS,REOPENS,0
dinoL518,500,0.5,R3_render,0.821518,0.61225,1.023521,0.532599,1.120796,0.532599,1.120796,REOPENS,REOPENS,0
dinoL518,500,1.0,R2_cut,0.684778,0.560086,0.88003,0.470705,0.950434,0.470705,0.950434,AMBIGUOUS,REOPENS,1
dinoL518,500,1.0,R3_render,0.637573,0.506447,0.797838,0.41732,0.893475,0.41732,0.893475,AMBIGUOUS,REOPENS,1
dinoL518,500,2.0,R2_cut,0.628065,0.399604,0.769805,0.317301,0.881031,0.317301,0.881031,AMBIGUOUS,REOPENS,1
dinoL518,500,2.0,R3_render,0.567921,0.332651,0.737622,0.243744,0.833155,0.243744,0.833155,AMBIGUOUS,REOPENS,1
dinoL518,500,5.0,R2_cut,0.62969,0.457525,0.797975,0.368127,0.885426,0.368127,0.885426,AMBIGUOUS,REOPENS,1
dinoL518,500,5.0,R3_render,0.584596,0.399356,0.7331,0.311097,0.845937,0.311097,0.845937,AMBIGUOUS,REOPENS,1
dinoL518,500,10.0,R2_cut,0.614337,0.438605,0.738557,0.359427,0.849591,0.359427,0.849591,AMBIGUOUS,REOPENS,1
dinoL518,500,10.0,R3_render,0.547559,0.355784,0.746456,0.269617,0.832229,0.269617,0.832229,AMBIGUOUS,REOPENS,1
dinoL518,500,20.0,R2_cut,0.618236,0.438195,0.784478,0.357043,0.879635,0.357043,0.879635,AMBIGUOUS,REOPENS,1
dinoL518,500,20.0,R3_render,0.554052,0.305815,0.715918,0.211573,0.815268,0.211573,0.815268,AMBIGUOUS,REOPENS,1
dinoL518,500,40.0,R2_cut,0.601045,0.449197,0.718534,0.35489,0.835875,0.35489,0.835875,AMBIGUOUS,REOPENS,1
dinoL518,500,40.0,R3_render,0.543035,0.331685,0.675,0.252056,0.793322,0.252056,0.793322,AMBIGUOUS,REOPENS,1
dinoL518,1000,0.02,R2_cut,0.758896,0.607043,0.90809,0.560106,0.960468,0.560106,0.960468,REOPENS,REOPENS,0
dinoL518,1000,0.02,R3_render,0.62179,0.501774,0.744313,0.437498,0.807988,0.437498,0.807988,AMBIGUOUS,REOPENS,1
dinoL518,1000,0.05,R2_cut,0.768207,0.61889,0.901426,0.567882,0.959135,0.567882,0.959135,REOPENS,REOPENS,0
dinoL518,1000,0.05,R3_render,0.631288,0.517339,0.792267,0.451965,0.856752,0.451965,0.856752,AMBIGUOUS,REOPENS,1
dinoL518,1000,0.1,R2_cut,0.746395,0.612944,0.853977,0.559292,0.92507,0.559292,0.92507,REOPENS,REOPENS,0
dinoL518,1000,0.1,R3_render,0.618061,0.508159,0.728702,0.445448,0.79486,0.445448,0.79486,AMBIGUOUS,REOPENS,1
dinoL518,1000,0.2,R2_cut,0.777164,0.620255,0.904607,0.57483,0.964869,0.57483,0.964869,REOPENS,REOPENS,0
dinoL518,1000,0.2,R3_render,0.654712,0.52269,0.767659,0.461485,0.8325,0.461485,0.8325,AMBIGUOUS,REOPENS,1
dinoL518,1000,0.5,R2_cut,0.797255,0.670089,0.896943,0.615607,0.967508,0.615607,0.967508,REOPENS,REOPENS,0
dinoL518,1000,0.5,R3_render,0.65352,0.541178,0.756581,0.468597,0.831168,0.468597,0.831168,AMBIGUOUS,REOPENS,1
dinoL518,1000,1.0,R2_cut,0.641814,0.565702,0.751324,0.487953,0.819352,0.487953,0.819352,AMBIGUOUS,REOPENS,1
dinoL518,1000,1.0,R3_render,0.538181,0.440505,0.61931,0.37619,0.696799,0.37619,0.696799,AMBIGUOUS,REOPENS,1
dinoL518,1000,2.0,R2_cut,0.549901,0.426887,0.691734,0.36758,0.752016,0.36758,0.752016,AMBIGUOUS,REOPENS,1
dinoL518,1000,2.0,R3_render,0.494621,0.367586,0.633974,0.300754,0.698646,0.300754,0.698646,AMBIGUOUS,REOPENS,1
dinoL518,1000,5.0,R2_cut,0.541953,0.406786,0.666907,0.342431,0.739599,0.342431,0.739599,AMBIGUOUS,REOPENS,1
dinoL518,1000,5.0,R3_render,0.504005,0.367265,0.63891,0.310834,0.710232,0.310834,0.710232,AMBIGUOUS,REOPENS,1
dinoL518,1000,10.0,R2_cut,0.507793,0.395827,0.665613,0.327094,0.722523,0.327094,0.722523,AMBIGUOUS,REOPENS,1
dinoL518,1000,10.0,R3_render,0.488331,0.378645,0.6296,0.311336,0.690091,0.311336,0.690091,AMBIGUOUS,REOPENS,1
dinoL518,1000,20.0,R2_cut,0.495756,0.40203,0.624053,0.33297,0.686177,0.33297,0.686177,AMBIGUOUS,REOPENS,1
dinoL518,1000,20.0,R3_render,0.469528,0.39408,0.592666,0.30568,0.654558,0.30568,0.654558,AMBIGUOUS,REOPENS,1
dinoL518,1000,40.0,R2_cut,0.52191,0.421283,0.61141,0.352707,0.689067,0.352707,0.689067,AMBIGUOUS,REOPENS,1
dinoL518,1000,40.0,R3_render,0.497386,0.395876,0.624795,0.323449,0.691713,0.323449,0.691713,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.02,R2_cut,0.458992,0.382971,0.526447,0.336,0.575131,0.336,0.575131,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.02,R3_render,0.354395,0.285414,0.426901,0.231503,0.477545,0.231503,0.477545,AMBIGUOUS,AMBIGUOUS,0
dinoL518,2000,0.05,R2_cut,0.462202,0.365921,0.55367,0.325162,0.598012,0.325162,0.598012,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.05,R3_render,0.357837,0.255938,0.467204,0.214039,0.502998,0.214039,0.502998,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.1,R2_cut,0.455473,0.364386,0.546337,0.32617,0.594203,0.32617,0.594203,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.1,R3_render,0.361372,0.255184,0.454423,0.217433,0.498015,0.217433,0.498015,AMBIGUOUS,AMBIGUOUS,0
dinoL518,2000,0.2,R2_cut,0.476056,0.379094,0.55224,0.336317,0.594918,0.336317,0.594918,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.2,R3_render,0.387927,0.3004,0.460297,0.254335,0.507203,0.254335,0.507203,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.5,R2_cut,0.466804,0.416388,0.51744,0.359379,0.572594,0.359379,0.572594,AMBIGUOUS,REOPENS,1
dinoL518,2000,0.5,R3_render,0.361326,0.262167,0.437554,0.218126,0.489426,0.218126,0.489426,AMBIGUOUS,AMBIGUOUS,0
dinoL518,2000,1.0,R2_cut,0.392319,0.297065,0.458055,0.257669,0.507031,0.257669,0.507031,AMBIGUOUS,REOPENS,1
dinoL518,2000,1.0,R3_render,0.324858,0.202973,0.393736,0.165702,0.444933,0.165702,0.444933,CONFIRMED,AMBIGUOUS,1
dinoL518,2000,2.0,R2_cut,0.384875,0.285173,0.454605,0.251735,0.504831,0.251735,0.504831,AMBIGUOUS,REOPENS,1
dinoL518,2000,2.0,R3_render,0.348976,0.263017,0.428653,0.215502,0.472191,0.215502,0.472191,AMBIGUOUS,AMBIGUOUS,0
dinoL518,2000,5.0,R2_cut,0.378448,0.297465,0.447213,0.248799,0.504244,0.248799,0.504244,AMBIGUOUS,REOPENS,1
dinoL518,2000,5.0,R3_render,0.345217,0.245171,0.429251,0.202645,0.478162,0.202645,0.478162,AMBIGUOUS,AMBIGUOUS,0
