tag,repr,B,clusters_touched_A,clusters_touched_R,clusters_total,occupancy_tv,occupancy_entropy_A,occupancy_entropy_R,overlap,overlap_expected_by_chance,overlap_ratio,jaccard
dinoL518,R2_cut,250,34,61,75,0.532,0.6149899648060176,0.8435018437379039,14,14.054418709242185,0.996128,0.02880658436213992
dinoL518,R2_cut,500,53,70,75,0.38600000000000007,0.7197182573720708,0.858787907026366,52,56.21767483696874,0.924976,0.05485232067510549
dinoL518,R2_cut,1000,67,74,75,0.27499999999999997,0.7628958320583201,0.8654377990565236,235,224.87069934787496,1.045045,0.13314447592067988
dinoL518,R2_cut,2000,73,75,75,0.192,0.7942715317407772,0.8802776456904058,900,899.4827973914998,1.000575,0.2903225806451613
dinoL518,R2_cut,3000,75,75,75,0.10433333333333333,0.8266425278740889,0.8704538829593714,2013,2023.8362941308746,0.9946456666666668,0.5048908954100828
dinoL518,R3_render,250,36,61,75,0.5800000000000001,0.6054907561864068,0.8435018437379039,8,14.054418709242185,0.569216,0.016260162601626018
dinoL518,R3_render,500,51,70,75,0.43600000000000005,0.680434496096357,0.858787907026366,53,56.21767483696874,0.942764,0.0559662090813094
dinoL518,R3_render,1000,67,74,75,0.294,0.7338509585400605,0.8654377990565236,223,224.87069934787496,0.991681,0.12549240292628025
dinoL518,R3_render,2000,74,75,75,0.20900000000000002,0.7864775195999751,0.8802776456904058,887,899.4827973914998,0.9861222500000001,0.28493414712495985
dinoL518,R3_render,3000,75,75,75,0.12066666666666667,0.8276479974495401,0.8704538829593714,2016,2023.8362941308746,0.996128,0.5060240963855421
dinoL224,R2_cut,250,42,29,50,0.376,0.8278328848455171,0.6610732762743292,9,14.054418709242185,0.640368,0.018329938900203666
dinoL224,R2_cut,500,44,38,50,0.262,0.8009686185816614,0.7068983031768209,68,56.21767483696874,1.209584,0.07296137339055794
dinoL224,R2_cut,1000,49,47,50,0.21600000000000003,0.7678730004583503,0.7078743101960321,212,224.87069934787496,0.942764,0.1185682326621924
dinoL224,R2_cut,2000,50,50,50,0.143,0.7416694328741554,0.7086499207906723,914,899.4827973914998,1.0161395,0.2961762799740765
dinoL224,R2_cut,3000,50,49,50,0.09333333333333332,0.7236439056107026,0.7036696004200284,2010,2023.8362941308746,0.9931633333333334,0.5037593984962406
dinoL224,R3_render,250,30,29,50,0.47600000000000003,0.6729797573029398,0.6610732762743292,11,14.054418709242185,0.782672,0.022494887525562373
dinoL224,R3_render,500,41,38,50,0.278,0.7331475905430579,0.7068983031768209,65,56.21767483696874,1.15622,0.06951871657754011
dinoL224,R3_render,1000,46,47,50,0.187,0.7281598736301593,0.7078743101960321,222,224.87069934787496,0.9872340000000001,0.12485939257592801
dinoL224,R3_render,2000,48,50,50,0.13150000000000003,0.7076952954680261,0.7086499207906723,878,899.4827973914998,0.9761165,0.2812299807815503
dinoL224,R3_render,3000,50,49,50,0.08433333333333332,0.7105577413825522,0.7036696004200284,2002,2023.8362941308746,0.9892104444444445,0.5007503751875938
