tag,B,alpha,repr,order,n_draws_paired,d_heldout,jaccard_vs_primary,d_order_spread,ORDER_SENSITIVE
dinoL518,250,0.02,R2_cut,asc_index,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,asc_nc,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,desc_es,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,desc_nc,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_0,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_1,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_2,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_3,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_4,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_5,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_6,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_7,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_8,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R2_cut,shuffled_9,5,1.216063,1.0,0.0,0
dinoL518,250,0.02,R3_render,asc_index,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,asc_nc,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,desc_es,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,desc_nc,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_0,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_1,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_2,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_3,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_4,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_5,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_6,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_7,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_8,5,1.095844,1.0,0.0,0
dinoL518,250,0.02,R3_render,shuffled_9,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R2_cut,asc_index,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,asc_nc,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,desc_es,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,desc_nc,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_0,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_1,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_2,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_3,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_4,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_5,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_6,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_7,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_8,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R2_cut,shuffled_9,5,1.216063,1.0,0.0,0
dinoL518,250,0.05,R3_render,asc_index,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,asc_nc,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,desc_es,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,desc_nc,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_0,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_1,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_2,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_3,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_4,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_5,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_6,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_7,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_8,5,1.095844,1.0,0.0,0
dinoL518,250,0.05,R3_render,shuffled_9,5,1.095844,1.0,0.0,0
dinoL518,250,0.1,R2_cut,asc_index,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,asc_nc,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,desc_es,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,desc_nc,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_0,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_1,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_2,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_3,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_4,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_5,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_6,5,1.04981,1.0,0.0,0
