endpoint,name,dims,n_candidates,nearest,nearest_split,nearest_name
test,COD10K-CAM-1-Aquatic-13-Pipefish-640.jpg,800x600,56,57.898,tgt,camourflage_00708.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-788.jpg,800x600,56,47.886,tgt,COD10K-CAM-1-Aquatic-16-Shrimp-1135.jpg
test,COD10K-CAM-1-Aquatic-14-ScorpionFish-918.jpg,800x600,56,45.957,tgt,camourflage_00326.jpg
test,COD10K-CAM-1-Aquatic-2-ClownFish-11.jpg,800x600,56,71.113,tgt,COD10K-CAM-2-Terrestrial-42-Sciuridae-2388.jpg
test,COD10K-CAM-1-Aquatic-6-Fish-135.jpg,800x600,56,39.85,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2357.jpg
test,COD10K-CAM-1-Aquatic-6-Fish-138.jpg,800x600,56,39.729,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2357.jpg
test,COD10K-CAM-1-Aquatic-6-Fish-150.jpg,800x600,56,44.24,tgt,camourflage_00326.jpg
test,COD10K-CAM-1-Aquatic-6-Fish-231.jpg,800x600,56,51.457,tgt,COD10K-CAM-1-Aquatic-9-GhostPipefish-332.jpg
test,COD10K-CAM-2-Terrestrial-23-Cat-1344.jpg,800x600,56,32.576,tgt,COD10K-CAM-1-Aquatic-7-Flounder-281.jpg
test,COD10K-CAM-2-Terrestrial-23-Cat-1494.jpg,800x600,56,67.488,tgt,COD10K-CAM-1-Aquatic-14-ScorpionFish-903.jpg
test,COD10K-CAM-2-Terrestrial-24-Caterpillar-1645.jpg,800x600,56,47.48,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2357.jpg
test,COD10K-CAM-2-Terrestrial-30-Duck-1866.jpg,800x600,56,63.372,tgt,COD10K-CAM-1-Aquatic-14-ScorpionFish-903.jpg
test,COD10K-CAM-2-Terrestrial-45-Spider-2510.jpg,800x600,56,51.579,tgt,COD10K-CAM-1-Aquatic-14-ScorpionFish-903.jpg
test,COD10K-CAM-2-Terrestrial-45-Spider-2567.jpg,800x600,56,52.078,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2357.jpg
test,COD10K-CAM-3-Flying-53-Bird-3231.jpg,800x600,56,42.194,tgt,COD10K-CAM-1-Aquatic-14-ScorpionFish-903.jpg
test,COD10K-CAM-3-Flying-53-Bird-3239.jpg,800x600,56,67.236,tgt,camourflage_00802.jpg
test,COD10K-CAM-3-Flying-57-Dragonfly-3559.jpg,800x600,56,41.35,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2357.jpg
test,COD10K-CAM-3-Flying-59-Grasshopper-3795.jpg,800x600,56,49.761,tgt,COD10K-CAM-1-Aquatic-13-Pipefish-829.jpg
test,COD10K-CAM-3-Flying-61-Katydid-4242.jpg,800x600,56,62.397,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2357.jpg
test,COD10K-CAM-3-Flying-62-Mantis-4255.jpg,800x600,56,51.508,tgt,COD10K-CAM-1-Aquatic-14-ScorpionFish-903.jpg
test,COD10K-CAM-3-Flying-62-Mantis-4325.jpg,800x600,56,57.724,tgt,COD10K-CAM-1-Aquatic-9-GhostPipefish-332.jpg
test,COD10K-CAM-3-Flying-65-Owl-4561.jpg,800x600,56,56.736,tgt,COD10K-CAM-1-Aquatic-14-ScorpionFish-903.jpg
test,COD10K-CAM-1-Aquatic-1-BatFish-2.jpg,800x533,10,43.777,tgt,COD10K-CAM-1-Aquatic-1-BatFish-7.jpg
test,COD10K-CAM-1-Aquatic-1-BatFish-6.jpg,800x533,10,40.655,tgt,COD10K-CAM-1-Aquatic-1-BatFish-3.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-804.jpg,800x533,10,51.791,tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1712.jpg
test,COD10K-CAM-1-Aquatic-3-Crab-67.jpg,800x533,10,33.611,tgt,COD10K-CAM-1-Aquatic-1-BatFish-3.jpg
test,COD10K-CAM-2-Terrestrial-23-Cat-1432.jpg,800x533,10,63.645,tgt,COD10K-CAM-3-Flying-50-Bat-2957.jpg
test,COD10K-CAM-3-Flying-59-Grasshopper-3773.jpg,800x533,10,63.181,tgt,COD10K-CAM-1-Aquatic-1-BatFish-3.jpg
test,COD10K-CAM-4-Amphibian-68-Toad-4841.jpg,800x533,10,55.937,tgt,COD10K-CAM-1-Aquatic-1-BatFish-7.jpg
test,COD10K-CAM-1-Aquatic-16-Shrimp-1119.jpg,427x640,9,48.019,tgt,COD10K-CAM-3-Flying-54-Bittern-3257.jpg
test,COD10K-CAM-2-Terrestrial-26-Chameleon-1730.jpg,427x640,9,53.461,tgt,COD10K-CAM-3-Flying-54-Bittern-3257.jpg
test,COD10K-CAM-3-Flying-53-Bird-3087.jpg,427x640,9,40.876,tgt,COD10K-CAM-3-Flying-64-Moth-4493.jpg
test,COD10K-CAM-3-Flying-60-Heron-3884.jpg,427x640,9,59.259,tgt,COD10K-CAM-3-Flying-54-Bittern-3257.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-508.jpg,1024x562,2,36.763,tgt,COD10K-CAM-2-Terrestrial-24-Caterpillar-1629.jpg
test,COD10K-CAM-2-Terrestrial-45-Spider-2759.jpg,1024x777,1,73.846,tgt,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-420.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-492.jpg,799x533,27,42.957,tgt,COD10K-CAM-3-Flying-64-Moth-4465.jpg
test,COD10K-CAM-1-Aquatic-14-ScorpionFish-874.jpg,799x533,27,58.606,tgt,COD10K-CAM-3-Flying-53-Bird-3122.jpg
test,COD10K-CAM-1-Aquatic-16-Shrimp-1116.jpg,799x533,27,65.763,tgt,COD10K-CAM-3-Flying-64-Moth-4465.jpg
test,COD10K-CAM-1-Aquatic-16-Shrimp-1117.jpg,799x533,27,63.758,tgt,COD10K-CAM-3-Flying-53-Bird-3017.jpg
test,COD10K-CAM-1-Aquatic-16-Shrimp-1130.jpg,799x533,27,53.206,tgt,COD10K-CAM-3-Flying-64-Moth-4465.jpg
test,COD10K-CAM-2-Terrestrial-28-Deer-1762.jpg,799x533,27,0.0,tgt,COD10K-CAM-2-Terrestrial-28-Deer-1796.jpg
test,COD10K-CAM-2-Terrestrial-38-Lizard-2217.jpg,799x533,27,51.314,tgt,COD10K-CAM-3-Flying-53-Bird-3122.jpg
test,COD10K-CAM-2-Terrestrial-45-Spider-2779.jpg,799x533,27,62.013,tgt,COD10K-CAM-4-Amphibian-68-Toad-4846.jpg
test,COD10K-CAM-3-Flying-53-Bird-3026.jpg,799x533,27,54.126,tgt,COD10K-CAM-3-Flying-53-Bird-3122.jpg
test,COD10K-CAM-3-Flying-53-Bird-3083.jpg,799x533,27,51.297,tgt,COD10K-CAM-2-Terrestrial-38-Lizard-2133.jpg
test,COD10K-CAM-3-Flying-63-Mockingbird-4427.jpg,799x533,27,46.832,tgt,COD10K-CAM-4-Amphibian-68-Toad-4846.jpg
test,COD10K-CAM-3-Flying-65-Owl-4573.jpg,799x533,27,45.947,tgt,COD10K-CAM-3-Flying-53-Bird-3122.jpg
test,COD10K-CAM-1-Aquatic-1-BatFish-5.jpg,1024x768,317,54.159,tgt,COD10K-CAM-1-Aquatic-3-Crab-78.jpg
test,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419.jpg,1024x768,317,51.904,tgt,COD10K-CAM-1-Aquatic-13-Pipefish-716.jpg
test,COD10K-CAM-1-Aquatic-11-Octopus-468.jpg,1024x768,317,55.805,tgt,COD10K-CAM-1-Aquatic-3-Crab-78.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-500.jpg,1024x768,317,46.983,tgt,COD10K-CAM-2-Terrestrial-42-Sciuridae-2417.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-501.jpg,1024x768,317,47.793,tgt,COD10K-CAM-4-Amphibian-68-Toad-5016.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-502.jpg,1024x768,317,42.884,tgt,COD10K-CAM-4-Amphibian-68-Toad-5016.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-503.jpg,1024x768,317,34.039,tgt,COD10K-CAM-1-Aquatic-13-Pipefish-548.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-515.jpg,1024x768,317,45.672,tgt,COD10K-CAM-2-Terrestrial-45-Spider-2774.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-522.jpg,1024x768,317,42.975,tgt,COD10K-CAM-1-Aquatic-7-Flounder-260.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-527.jpg,1024x768,317,39.541,tgt,COD10K-CAM-1-Aquatic-19-Stingaree-1187.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-528.jpg,1024x768,317,42.303,tgt,COD10K-CAM-1-Aquatic-13-Pipefish-507.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-529.jpg,1024x768,317,41.109,tgt,COD10K-CAM-2-Terrestrial-23-Cat-1402.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-531.jpg,1024x768,317,32.501,tgt,COD10K-CAM-2-Terrestrial-37-Lion-2116.jpg
test,COD10K-CAM-1-Aquatic-13-Pipefish-539.jpg,1024x768,317,54.969,tgt,COD10K-CAM-2-Terrestrial-40-Rabbit-2355.jpg
