split_a,name_a,split_b,name_b,dims,mean_abs,p99_abs,max_abs,frac_gt8,content_std
tgt,camourflage_00198.jpg,raw,1761.png,400x300,4.775,18,46,0.16262,40.8
tgt,camourflage_00294.jpg,raw,2024.png,400x300,5.547,25,61,0.2164,44.7
tgt,camourflage_00362.jpg,raw,8046.png,400x300,5.905,26,72,0.25227,59.3
tgt,camourflage_00661.jpg,raw,5142.png,400x300,4.643,19,125,0.15062,33.1
tgt,camourflage_00737.jpg,raw,1336.png,400x300,4.94,20,54,0.17757,60.6
tgt,camourflage_00754.jpg,raw,1809.png,400x300,3.766,16,43,0.09751,49.0
raw,0336.png,raw,0564.png,400x300,5.624,46,154,0.15601,54.5
tgt,camourflage_00029.jpg,raw,8218.png,400x267,2.664,13,35,0.0428,39.2
tgt,camourflage_00184.jpg,raw,5244.png,400x267,4.27,26,73,0.14422,44.1
tgt,camourflage_00318.jpg,raw,2690.png,400x267,3.889,19,75,0.12051,63.3
tgt,camourflage_00409.jpg,raw,5116.png,400x267,4.744,21,61,0.16073,61.6
tgt,camourflage_00482.jpg,raw,8043.png,400x267,2.37,9,22,0.01333,67.4
tgt,camourflage_00651.jpg,raw,6072.png,400x267,5.151,22,72,0.1902,38.5
tgt,camourflage_00820.jpg,raw,2603.png,400x267,3.549,17,46,0.08446,35.4
tgt,COD10K-CAM-3-Flying-59-Grasshopper-3616.jpg,cham,animal-50.jpg,1024x683,0.645,3,13,4e-05,40.7
tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1665.jpg,cham,animal-23.jpg,1024x768,2.672,18,67,0.0526,58.5
tgt,COD10K-CAM-2-Terrestrial-37-Lion-2116.jpg,cham,animal-1.jpg,1024x768,2.306,9,27,0.01665,34.8
tgt,COD10K-CAM-3-Flying-57-Dragonfly-3567.jpg,test,COD10K-CAM-3-Flying-57-Dragonfly-3566.jpg,1024x768,0.815,4,12,7e-05,61.6
tgt,COD10K-CAM-4-Amphibian-68-Toad-4805.jpg,cham,animal-12.jpg,1024x768,1.461,5,14,0.00018,45.6
test,COD10K-CAM-2-Terrestrial-44-Snake-2424.jpg,cham,animal-5.jpg,1024x768,1.585,6,32,0.00251,47.9
tgt,camourflage_00402.jpg,raw,4290.png,400x266,3.816,14,33,0.08465,47.9
tgt,camourflage_00555.jpg,raw,1834.png,400x266,3.514,20,56,0.10559,42.8
tgt,camourflage_00340.jpg,raw,4036.png,400x268,4.324,16,51,0.12602,32.3
tgt,camourflage_00628.jpg,raw,2486.png,400x225,5.273,22,49,0.20186,54.2
tgt,camourflage_00060.jpg,raw,5337.png,400x400,5.342,23,65,0.20338,48.0
tgt,camourflage_00932.jpg,raw,3350.png,400x400,1.648,9,34,0.01162,63.5
tgt,camourflage_00969.jpg,raw,3200.png,400x265,5.449,20,40,0.21755,57.5
tgt,COD10K-CAM-3-Flying-50-Bat-2958.jpg,val,camourflage_00224.jpg,683x1024,3.381,14,40,0.07904,49.1
tgt,COD10K-CAM-1-Aquatic-15-SeaHorse-960.jpg,tgt,COD10K-CAM-1-Aquatic-15-SeaHorse-967.jpg,800x600,1.063,5,95,0.00349,58.5
tgt,camourflage_00082.jpg,raw,3321.png,400x301,4.156,18,38,0.12018,56.0
tgt,camourflage_00734.jpg,raw,8008.png,400x301,3.868,14,33,0.09012,37.2
tgt,camourflage_00447.jpg,raw,3079.png,400x320,3.768,20,76,0.1028,101.3
tgt,COD10K-CAM-1-Aquatic-20-Turtle-1208.jpg,cham,animal-31.jpg,640x480,5.512,35,98,0.19347,67.4
tgt,COD10K-CAM-2-Terrestrial-45-Spider-2497.jpg,cham,animal-70.jpg,640x480,2.067,10,34,0.01697,40.4
val,camourflage_00594.jpg,raw,6474.png,400x270,5.526,23,50,0.2128,41.8
tgt,camourflage_00005.jpg,raw,8025.png,400x275,3.584,16,47,0.0786,42.5
tgt,camourflage_00115.jpg,raw,5232.png,400x226,5.907,22,44,0.24683,56.3
tgt,camourflage_00115.jpg,raw,6268.png,400x226,5.907,22,44,0.24683,56.3
tgt,camourflage_00880.jpg,raw,3736.png,400x285,4.376,21,71,0.15777,63.8
tgt,camourflage_00899.jpg,raw,4284.png,400x285,5.697,22,60,0.22583,53.4
test,COD10K-CAM-2-Terrestrial-31-Gecko-1882.jpg,cham,animal-32.jpg,500x375,3.878,19,53,0.10586,57.6
tgt,camourflage_00076.jpg,raw,9022.png,400x284,3.995,20,64,0.11863,61.9
raw,0031.png,raw,0157.png,400x251,1.672,7,28,0.00317,58.5
tgt,camourflage_00907.jpg,raw,5265.png,400x257,5.247,23,54,0.19892,41.0
tgt,camourflage_00393.jpg,raw,4422.png,400x253,4.426,18,54,0.13934,45.0
tgt,camourflage_00433.jpg,raw,1808.png,400x335,4.21,20,47,0.13866,44.3
tgt,camourflage_00620.jpg,raw,8006.png,400x315,5.002,22,89,0.17619,53.7
tgt,camourflage_00585.jpg,raw,5272.png,400x239,3.771,24,96,0.1167,55.4
