split_a,split_b,level,n_a,n_b,collisions
tgt,test,fhash,4040,2026,7
tgt,test,phash,4040,2026,7
tgt,cham,fhash,4040,76,0
tgt,cham,phash,4040,76,0
tgt,nc4k,fhash,4040,4121,0
tgt,nc4k,phash,4040,4121,0
tgt,val,fhash,4040,250,0
tgt,val,phash,4040,250,0
tgt,raw,fhash,4040,4447,0
tgt,raw,phash,4040,4447,0
tgt,auth,fhash,4040,4447,0
tgt,auth,phash,4040,4447,0
tgt,local,fhash,4040,4447,0
tgt,local,phash,4040,4447,0
test,cham,fhash,2026,76,0
test,cham,phash,2026,76,0
test,nc4k,fhash,2026,4121,0
test,nc4k,phash,2026,4121,0
test,val,fhash,2026,250,0
test,val,phash,2026,250,0
test,raw,fhash,2026,4447,0
test,raw,phash,2026,4447,0
test,auth,fhash,2026,4447,0
test,auth,phash,2026,4447,0
test,local,fhash,2026,4447,0
test,local,phash,2026,4447,0
cham,nc4k,fhash,76,4121,0
cham,nc4k,phash,76,4121,0
cham,val,fhash,76,250,3
cham,val,phash,76,250,3
cham,raw,fhash,76,4447,0
cham,raw,phash,76,4447,0
cham,auth,fhash,76,4447,0
cham,auth,phash,76,4447,0
cham,local,fhash,76,4447,0
cham,local,phash,76,4447,0
nc4k,val,fhash,4121,250,0
nc4k,val,phash,4121,250,0
nc4k,raw,fhash,4121,4447,0
nc4k,raw,phash,4121,4447,0
nc4k,auth,fhash,4121,4447,0
nc4k,auth,phash,4121,4447,0
nc4k,local,fhash,4121,4447,0
nc4k,local,phash,4121,4447,0
val,raw,fhash,250,4447,0
val,raw,phash,250,4447,0
val,auth,fhash,250,4447,0
val,auth,phash,250,4447,0
val,local,fhash,250,4447,0
val,local,phash,250,4447,0
raw,auth,fhash,4447,4447,0
raw,auth,phash,4447,4447,0
raw,local,fhash,4447,4447,0
raw,local,phash,4447,4447,0
auth,local,fhash,4447,4447,0
auth,local,phash,4447,4447,0
