name,dims,n_candidates,nearest,nearest_name
1002.jpg,888x666,0,,
1003.jpg,1100x618,0,,
1958.jpg,1100x618,0,,
2945.jpg,1100x618,0,,
3356.jpg,1100x618,0,,
1004.jpg,480x270,0,,
1057.jpg,480x270,0,,
1534.jpg,480x270,0,,
2475.jpg,480x270,0,,
2491.jpg,480x270,0,,
2500.jpg,480x270,0,,
2504.jpg,480x270,0,,
2645.jpg,480x270,0,,
2660.jpg,480x270,0,,
2934.jpg,480x270,0,,
3301.jpg,480x270,0,,
3397.jpg,480x270,0,,
353.jpg,480x270,0,,
3719.jpg,480x270,0,,
470.jpg,480x270,0,,
5253.jpg,480x270,0,,
5850.jpg,480x270,0,,
919.jpg,480x270,0,,
970.jpg,480x270,0,,
1005.jpg,420x380,0,,
1006.jpg,931x524,0,,
1634.jpg,931x524,0,,
4822.jpg,931x524,0,,
1007.jpg,480x360,0,,
1024.jpg,480x360,0,,
1064.jpg,480x360,0,,
1121.jpg,480x360,0,,
1197.jpg,480x360,0,,
1282.jpg,480x360,0,,
1300.jpg,480x360,0,,
1402.jpg,480x360,0,,
1434.jpg,480x360,0,,
144.jpg,480x360,0,,
1457.jpg,480x360,0,,
1544.jpg,480x360,0,,
1602.jpg,480x360,0,,
1658.jpg,480x360,0,,
1726.jpg,480x360,0,,
1767.jpg,480x360,0,,
1819.jpg,480x360,0,,
182.jpg,480x360,0,,
1846.jpg,480x360,0,,
1851.jpg,480x360,0,,
1874.jpg,480x360,0,,
1895.jpg,480x360,0,,
1900.jpg,480x360,0,,
1903.jpg,480x360,0,,
1909.jpg,480x360,0,,
2094.jpg,480x360,0,,
2113.jpg,480x360,0,,
2328.jpg,480x360,0,,
2333.jpg,480x360,0,,
2470.jpg,480x360,0,,
2479.jpg,480x360,0,,
2488.jpg,480x360,0,,
2665.jpg,480x360,0,,
2737.jpg,480x360,0,,
2871.jpg,480x360,0,,
2979.jpg,480x360,0,,
3040.jpg,480x360,0,,
3116.jpg,480x360,0,,
3126.jpg,480x360,0,,
3210.jpg,480x360,0,,
3241.jpg,480x360,0,,
3247.jpg,480x360,0,,
3252.jpg,480x360,0,,
3313.jpg,480x360,0,,
3328.jpg,480x360,0,,
3355.jpg,480x360,0,,
34.jpg,480x360,0,,
3435.jpg,480x360,0,,
347.jpg,480x360,0,,
35.jpg,480x360,0,,
3551.jpg,480x360,0,,
3590.jpg,480x360,0,,
3733.jpg,480x360,0,,
3787.jpg,480x360,0,,
402.jpg,480x360,0,,
404.jpg,480x360,0,,
4459.jpg,480x360,0,,
448.jpg,480x360,0,,
4631.jpg,480x360,0,,
4720.jpg,480x360,0,,
4903.jpg,480x360,0,,
505.jpg,480x360,0,,
5128.jpg,480x360,0,,
5164.jpg,480x360,0,,
5275.jpg,480x360,0,,
5289.jpg,480x360,0,,
5351.jpg,480x360,0,,
539.jpg,480x360,0,,
5418.jpg,480x360,0,,
5438.jpg,480x360,0,,
5550.jpg,480x360,0,,
5720.jpg,480x360,0,,
583.jpg,480x360,0,,
5839.jpg,480x360,0,,
631.jpg,480x360,0,,
748.jpg,480x360,0,,
813.jpg,480x360,0,,
822.jpg,480x360,0,,
96.jpg,480x360,0,,
97.jpg,480x360,0,,
1008.jpg,702x370,0,,
1009.jpg,600x400,1,62.067,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1071.jpg,600x400,1,53.431,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1123.jpg,600x400,1,41.611,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1167.jpg,600x400,1,43.534,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1256.jpg,600x400,1,57.283,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1299.jpg,600x400,1,58.126,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1462.jpg,600x400,1,64.0,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1644.jpg,600x400,1,62.761,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1648.jpg,600x400,1,53.692,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1721.jpg,600x400,1,52.552,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1963.jpg,600x400,1,69.227,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1981.jpg,600x400,1,54.468,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
1990.jpg,600x400,1,56.179,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2086.jpg,600x400,1,89.676,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2127.jpg,600x400,1,54.99,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2164.jpg,600x400,1,77.52,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2300.jpg,600x400,1,67.668,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2353.jpg,600x400,1,58.326,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2403.jpg,600x400,1,44.569,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
251.jpg,600x400,1,42.392,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2691.jpg,600x400,1,55.087,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2841.jpg,600x400,1,62.625,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
2889.jpg,600x400,1,66.986,COD10K-CAM-3-Flying-55-Butterfly-3353.jpg
