name,leaked,object_area_frac,boundary_complexity,fg_bg_contrast,n_components
animal-1.jpg,1,0.2347,0.05544,21.616,23
animal-10.jpg,0,0.02301,0.06818,40.066,3
animal-11.jpg,1,0.64403,0.00792,1.279,7
animal-12.jpg,1,0.37344,0.0113,2.075,2
animal-13.jpg,1,0.20698,0.01047,33.816,5
animal-14.jpg,1,0.21165,0.01265,14.088,1
animal-15.jpg,1,0.09169,0.11305,0.208,122
animal-16.jpg,0,0.06331,0.05928,4.26,1
animal-17.jpg,1,0.30221,0.01644,14.771,2
animal-18.jpg,0,0.16847,0.01214,31.446,1
animal-19.jpg,1,0.10386,0.0483,6.191,2
animal-2.jpg,0,0.21366,0.02123,7.96,16
animal-20.jpg,0,0.11017,0.04747,32.479,9
animal-21.jpg,1,0.08977,0.29275,79.68,4670
animal-22.jpg,0,0.08666,0.08152,26.972,1
animal-23.jpg,1,0.23351,0.03902,7.42,11
animal-24.jpg,1,0.01737,0.27145,22.048,1
animal-25.jpg,0,0.06404,0.20712,17.174,1
animal-26.jpg,1,0.11789,0.12626,34.148,4
animal-27.jpg,0,0.07277,0.265,0.275,40
animal-28.jpg,0,0.46175,0.03093,16.136,5
animal-29.jpg,1,0.06879,0.05949,4.306,1
animal-3.jpg,0,0.69499,0.02687,31.152,17
animal-30.jpg,1,0.39442,0.04705,55.828,4
animal-31.jpg,1,0.04392,0.08435,59.741,2
animal-32.jpg,0,0.07142,0.07886,10.075,1
animal-33.jpg,1,0.15658,0.08916,17.929,1
animal-34.jpg,1,0.71298,0.02234,46.624,3
animal-35.jpg,1,0.81902,0.01018,43.48,2
animal-36.jpg,0,0.54098,0.01563,2.847,2
animal-37.jpg,1,0.2233,0.01578,23.967,1
animal-38.jpg,0,0.1519,0.04262,1.791,2
animal-39.jpg,1,0.11073,0.06396,8.941,1
animal-4.jpg,1,0.20322,0.04328,23.101,4
animal-40.jpg,1,0.14041,0.10704,22.1,2
animal-41.jpg,0,0.18535,0.02868,2.051,10
animal-42.jpg,1,0.89855,0.00524,20.627,2
animal-43.jpg,0,0.40751,0.01588,21.382,1
animal-44.jpg,1,0.20043,0.02954,22.512,1
animal-45.jpg,1,0.56957,0.04792,25.32,6
animal-46.jpg,0,0.10296,0.07201,15.947,2
animal-47.jpg,0,0.27185,0.01839,3.629,1
animal-48.jpg,1,0.15991,0.01754,35.949,1
animal-49.jpg,0,0.04468,0.09085,17.989,1
animal-5.jpg,0,0.00228,0.26562,20.093,1
animal-50.jpg,1,0.09676,0.0447,32.344,1
animal-51.jpg,0,0.2963,0.0247,4.615,1
animal-52.jpg,1,0.10061,0.11719,26.156,1
animal-53.jpg,0,0.68003,0.01395,16.675,4
animal-54.jpg,0,0.02454,0.18517,1.7,1
animal-55.jpg,1,0.32454,0.03815,17.683,6
animal-56.jpg,1,0.76101,0.00516,45.914,1
animal-57.jpg,1,0.11477,0.07468,6.454,7
animal-58.jpg,0,0.53447,0.01374,31.327,2
animal-59.jpg,0,0.32529,0.15256,71.54,1685
animal-6.jpg,1,0.14099,0.04647,29.882,2
animal-60.jpg,1,0.25425,0.03197,15.874,8
animal-61.jpg,0,0.61823,0.02018,16.632,5
animal-62.jpg,0,0.64275,0.01528,31.242,2
animal-63.jpg,1,0.26923,0.06082,10.373,1
animal-64.jpg,0,0.71807,0.01663,10.509,4
animal-65.jpg,1,0.26133,0.17391,11.045,944
animal-66.jpg,0,0.08713,0.08708,11.944,1
animal-67.jpg,1,0.08293,0.04092,1.753,2
animal-68.jpg,0,0.15023,0.02711,27.701,1
animal-69.jpg,0,0.38699,0.01722,13.061,1
animal-7.jpg,0,0.60212,0.0123,17.693,1
animal-70.jpg,1,0.10269,0.12759,15.55,1
animal-71.jpg,1,0.22788,0.02128,9.602,1
animal-72.jpg,0,0.28216,0.01899,55.178,5
animal-73.jpg,0,0.26358,0.02144,0.67,1
animal-74.jpg,0,0.346,0.02361,53.2,7
animal-75.jpg,0,0.28436,0.02302,23.774,2
animal-76.jpg,1,0.43079,0.01488,11.445,2
animal-8.jpg,1,0.64988,0.01405,11.177,22
animal-9.jpg,1,0.24949,0.02124,22.983,2
