rank,endpoint,endpoint_image,training_split,training_image,dims,mean_abs,p99_abs,max_abs,frac_gt8,content_std,qtables_identical,endpoint_kb,training_kb,qtables_differ_dqt,qtable_evidence,qtable_methods_agree,format_endpoint,format_training,formats_differ,partner_pool
1,chamnew,animal-76.jpg,tgt,COD10K-CAM-3-Flying-65-Owl-4516.jpg,829x466,0.603,4.0,13,3e-05,34.5,0,86,119,1,differ,1,JPEG,JPEG,0,cod10k_train
2,chamnew,animal-50.jpg,tgt,COD10K-CAM-3-Flying-59-Grasshopper-3616.jpg,1024x683,0.645,3.0,13,4e-05,40.7,0,273,222,1,differ,1,JPEG,JPEG,0,cod10k_train
3,chamnew,animal-34.jpg,tgt,COD10K-CAM-3-Flying-61-Katydid-3936.jpg,700x436,0.653,6.0,33,0.00451,58.8,0,49,82,1,differ,1,JPEG,JPEG,0,cod10k_train
4,chamnew,animal-14.jpg,tgt,COD10K-CAM-3-Flying-65-Owl-4509.jpg,1440x900,0.692,4.0,17,8e-05,58.7,0,398,762,1,differ,1,JPEG,JPEG,0,cod10k_train
5,chamnew,animal-42.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1887.jpg,880x587,0.781,5.0,24,0.00111,53.1,0,96,143,1,differ,1,JPEG,JPEG,0,cod10k_train
6,chamnew,animal-30.jpg,tgt,COD10K-CAM-4-Amphibian-68-Toad-4807.jpg,600x330,0.835,6.0,25,0.0032,45.9,0,51,75,1,differ,1,JPEG,JPEG,0,cod10k_train
7,chamnew,animal-45.jpg,tgt,COD10K-CAM-3-Flying-59-Grasshopper-3614.jpg,605x349,0.844,7.0,27,0.00438,40.2,0,36,61,1,differ,1,JPEG,JPEG,0,cod10k_train
8,chamnew,animal-71.jpg,tgt,COD10K-CAM-3-Flying-55-Butterfly-3291.jpg,1024x793,0.85,6.0,18,0.00194,55.0,0,196,379,1,differ,1,JPEG,JPEG,0,cod10k_train
9,chamnew,animal-35.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1884.jpg,470x688,0.905,7.0,28,0.006,57.2,0,94,132,1,differ,1,JPEG,JPEG,0,cod10k_train
10,chamnew,animal-33.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1883.jpg,426x650,0.952,4.0,13,0.00022,37.9,0,106,162,1,differ,1,JPEG,JPEG,0,cod10k_train
11,chamnew,animal-15.jpg,tgt,COD10K-CAM-2-Terrestrial-48-Wolf-2913.jpg,2048x1225,0.989,8.0,39,0.00812,48.3,0,326,662,1,differ,1,JPEG,JPEG,0,cod10k_train
12,chamnew,animal-4.jpg,tgt,COD10K-CAM-3-Flying-61-Katydid-3937.jpg,1200x945,1.052,7.0,45,0.00559,57.7,0,171,322,1,differ,1,JPEG,JPEG,0,cod10k_train
13,chamnew,animal-13.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1879.jpg,2304x3456,1.165,5.0,22,0.00023,55.3,0,3621,2274,1,differ,1,JPEG,JPEG,0,cod10k_train
14,chamnew,animal-39.jpg,tgt,COD10K-CAM-1-Aquatic-3-Crab-19.jpg,940x590,1.19,6.0,23,0.00142,38.9,0,432,248,1,differ,1,JPEG,JPEG,0,cod10k_train
15,chamnew,animal-65.jpg,tgt,COD10K-CAM-2-Terrestrial-47-Tiger-2875.jpg,1600x1120,1.257,7.0,21,0.00275,45.2,0,459,651,1,differ,1,JPEG,JPEG,0,cod10k_train
16,chamnew,animal-9.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1891.jpg,1200x943,1.266,7.0,28,0.00464,60.2,0,266,495,1,differ,1,JPEG,JPEG,0,cod10k_train
