n,canonical,repo,same_shape,iou_as_stored,iou_polarity_aligned,exact,white_frac_canonical,white_frac_repo,obj_frac_canonical,obj_frac_repo,alpha_fg_frac_canonical
1,mask-1.png,animal-1.png,1,0.0,0.305,0,0.7653,0.07158,0.2347,0.07158,1.0
2,mask-2.png,animal-2.png,1,0.0,0.564,0,0.78634,0.1205,0.21366,0.1205,1.0
3,mask-3.png,animal-3.png,1,0.0,0.0079,0,0.30501,0.00546,0.69499,0.00546,1.0
4,mask-4.png,animal-4.png,1,0.0,0.8537,0,0.79678,0.17349,0.20322,0.17349,1.0
5,mask-5.png,animal-5.png,1,0.0,1.0,1,0.99772,0.00228,0.00228,0.00228,1.0
6,mask-6.png,animal-6.png,1,0.0,0.3065,0,0.85901,0.04322,0.14099,0.04322,1.0
7,mask-7.png,animal-7.png,1,0.0,0.4074,0,0.39788,0.24529,0.60212,0.24529,1.0
8,mask-8.png,animal-8.png,1,0.0,0.0386,0,0.35012,0.0251,0.64988,0.0251,1.0
9,mask-9.png,animal-9.png,1,0.0,0.3593,0,0.75051,0.08963,0.24949,0.08963,1.0
10,mask-10.png,animal-10.png,1,0.0,0.5925,0,0.97699,0.01363,0.02301,0.01363,1.0
11,mask-11.png,animal-11.png,1,0.0,0.1264,0,0.35597,0.08138,0.64403,0.08138,1.0
12,mask-12.png,animal-12.png,1,0.0,0.1915,0,0.62656,0.07151,0.37344,0.07151,1.0
13,mask-13.png,animal-13.png,1,0.0,0.6681,0,0.79302,0.13829,0.20698,0.13829,1.0
14,mask-14.png,animal-14.png,1,0.0,1.0,1,0.78835,0.21165,0.21165,0.21165,1.0
15,mask-15.png,animal-15.png,1,0.0,1.0,1,0.90831,0.09169,0.09169,0.09169,1.0
16,mask-16.png,animal-16.png,1,0.0,1.0,1,0.93669,0.06331,0.06331,0.06331,1.0
17,mask-17.png,animal-17.png,1,0.0,1.0,1,0.69779,0.30221,0.30221,0.30221,1.0
18,mask-18.png,animal-18.png,1,0.0,1.0,0,0.83153,0.16847,0.16847,0.16847,1.0
19,mask-19.png,animal-19.png,1,0.0,0.9336,0,0.89614,0.09697,0.10386,0.09697,1.0
20,mask-20.png,animal-20.png,1,0.0,1.0,1,0.88983,0.11017,0.11017,0.11017,1.0
21,mask-21.png,animal-21.png,1,0.0,0.1359,0,0.91023,0.0122,0.08977,0.0122,1.0
22,mask-22.png,animal-22.png,1,0.0,1.0,1,0.91334,0.08666,0.08666,0.08666,1.0
23,mask-23.png,animal-23.png,1,0.0,0.6618,0,0.76649,0.15454,0.23351,0.15454,1.0
24,mask-24.png,animal-24.png,1,0.0,1.0,1,0.98263,0.01737,0.01737,0.01737,1.0
25,mask-25.png,animal-25.png,1,0.0,1.0,1,0.93596,0.06404,0.06404,0.06404,1.0
26,mask-26.png,animal-26.png,1,0.0,0.5212,0,0.88211,0.06145,0.11789,0.06145,1.0
27,mask-27.png,animal-27.png,1,0.0,1.0,1,0.92723,0.07277,0.07277,0.07277,1.0
28,mask-28.png,animal-28.png,1,0.0,0.1997,0,0.53825,0.0922,0.46175,0.0922,1.0
29,mask-29.png,animal-29.png,1,0.0,1.0,1,0.93121,0.06879,0.06879,0.06879,1.0
30,mask-30.png,animal-30.png,1,0.0,0.111,0,0.60558,0.04379,0.39442,0.04379,1.0
31,mask-31.png,animal-31.png,1,0.0,1.0,1,0.95608,0.04392,0.04392,0.04392,1.0
32,mask-32.png,animal-32.png,1,0.0,1.0,1,0.92858,0.07142,0.07142,0.07142,1.0
33,mask-33.png,animal-33.png,1,0.0,1.0,0,0.84342,0.15658,0.15658,0.15658,1.0
34,mask-34.png,animal-34.png,1,0.0,0.1871,0,0.28702,0.1334,0.71298,0.1334,1.0
35,mask-35.png,animal-35.png,1,0.0,0.2075,0,0.18098,0.16998,0.81902,0.16998,1.0
36,mask-36.png,animal-36.png,1,0.0,0.9838,0,0.45902,0.53223,0.54098,0.53223,0.99999
37,mask-37.png,animal-37.png,1,0.0,1.0,1,0.7767,0.2233,0.2233,0.2233,1.0
38,mask-38.png,animal-38.png,1,0.0,0.9839,0,0.8481,0.14946,0.1519,0.14946,1.0
39,mask-39.png,animal-39.png,1,0.0,1.0,1,0.88927,0.11073,0.11073,0.11073,1.0
40,mask-40.png,animal-40.png,1,0.0,0.8381,0,0.85959,0.11768,0.14041,0.11768,1.0
41,mask-41.png,animal-41.png,1,0.0,0.9069,0,0.81465,0.16809,0.18535,0.16809,1.0
42,mask-42.png,animal-42.png,1,0.0,0.0753,0,0.10145,0.06765,0.89855,0.06765,1.0
43,mask-43.png,animal-43.png,1,0.0,1.0,1,0.59249,0.40751,0.40751,0.40751,1.0
44,mask-44.png,animal-44.png,1,0.0,1.0,1,0.79957,0.20043,0.20043,0.20043,1.0
45,mask-45.png,animal-45.png,1,0.0,0.1437,0,0.43043,0.08186,0.56957,0.08186,1.0
46,mask-46.png,animal-46.png,1,0.0,0.9576,0,0.89704,0.0986,0.10296,0.0986,1.0
47,mask-47.png,animal-47.png,1,0.0,1.0,1,0.72815,0.27185,0.27185,0.27185,1.0
48,mask-48.png,animal-48.png,1,0.0,1.0,0,0.84009,0.15991,0.15991,0.15991,1.0
49,mask-49.png,animal-49.png,1,0.0,1.0,1,0.95532,0.04468,0.04468,0.04468,1.0
50,mask-50.png,animal-50.png,1,0.0,1.0,1,0.90324,0.09676,0.09676,0.09676,1.0
51,mask-51.png,animal-51.png,1,0.0,1.0,1,0.7037,0.2963,0.2963,0.2963,1.0
52,mask-52.png,animal-52.png,1,0.0,1.0,1,0.89939,0.10061,0.10061,0.10061,1.0
53,mask-53.png,animal-53.png,1,0.0,0.071,0,0.31997,0.04826,0.68003,0.04826,1.0
54,mask-54.png,animal-54.png,1,0.0,1.0,1,0.97546,0.02454,0.02454,0.02454,1.0
55,mask-55.png,animal-55.png,1,0.0,0.954,0,0.67546,0.30961,0.32454,0.30961,1.0
56,mask-56.png,animal-56.png,1,0.0,0.1822,0,0.23899,0.13862,0.76101,0.13862,1.0
57,mask-57.png,animal-57.png,1,0.0,0.2662,0,0.88523,0.03055,0.11477,0.03055,1.0
58,mask-58.png,animal-58.png,1,0.0,0.2423,0,0.46553,0.1295,0.53447,0.1295,1.0
59,mask-59.png,animal-59.png,1,0.0,0.3877,0,0.67471,0.12613,0.32529,0.12613,1.0
60,mask-60.png,animal-60.png,1,0.0,0.3956,0,0.74575,0.10059,0.25425,0.10059,1.0
61,mask-61.png,animal-61.png,1,0.0,0.3534,0,0.38177,0.21851,0.61823,0.21851,1.0
62,mask-62.png,animal-62.png,1,0.0,0.6958,0,0.35725,0.44721,0.64275,0.44721,1.0
63,mask-63.png,animal-63.png,1,0.0,1.0,1,0.73077,0.26923,0.26923,0.26923,1.0
64,mask-64.png,animal-64.png,1,0.0,0.0735,0,0.28193,0.05277,0.71807,0.05277,1.0
65,mask-65.png,animal-65.png,1,0.0,0.8329,0,0.73867,0.21765,0.26133,0.21765,1.0
66,mask-66.png,animal-66.png,1,0.0,1.0,1,0.91287,0.08713,0.08713,0.08713,1.0
67,mask-67.png,animal-67.png,1,0.0,0.7161,0,0.91707,0.05939,0.08293,0.05939,1.0
68,mask-68.png,animal-68.png,1,0.0,1.0,1,0.84977,0.15023,0.15023,0.15023,1.0
69,mask-69.png,animal-69.png,1,0.0,1.0,1,0.61301,0.38699,0.38699,0.38699,1.0
