runid,arch,arm,seed,n,boundary_iou,boundary_f,boundary_prec,boundary_rec,iou
SINet_B_s42,SINet,B,42,2026,0.33247385519410916,0.40906277893254817,0.5278174030956714,0.38576405665870667,0.4521334304804621
SINet_B_s43,SINet,B,43,2026,0.33397173418182796,0.40921460969363876,0.5338153824806223,0.3819174967731139,0.45547378795303456
SINet_B_s45,SINet,B,45,2026,0.33418900228721715,0.40514489448102936,0.5374350710257852,0.3729704369450945,0.45704503940920593
SINet_C10_s42,SINet,C10,42,2026,0.3433763237568943,0.420108991601885,0.5474957512103262,0.39078205239211444,0.46188755447137386
SINet_C10_s43,SINet,C10,43,2026,0.3531417926947845,0.43319219575390017,0.5600713452312829,0.40402943642151207,0.4730290742670934
SINet_C10_s45,SINet,C10,45,2026,0.34080449101020316,0.4185888387188291,0.5404841928510472,0.39330093854005027,0.4586456285457251
SINet_CINV_s42,SINet,CINV,42,2026,0.34755103208803123,0.42780904100813194,0.5487736890801823,0.40317517129710273,0.4698712269640397
SINet_CINV_s43,SINet,CINV,43,2026,0.34205874181413526,0.4220665498715875,0.5374272295964232,0.40127670547772853,0.4621824321644394
SINet_CINV_s45,SINet,CINV,45,2026,0.3439305002957868,0.41571877109178185,0.5504594958417748,0.3848113696734016,0.4637895149067981
SINet_CSHUF_s42,SINet,CSHUF,42,2026,0.34636665503069636,0.4252081815418348,0.5480434895278629,0.39825108054070335,0.4649226774008656
SINet_CSHUF_s43,SINet,CSHUF,43,2026,0.34153066419967065,0.41935950827149576,0.5408367683567052,0.39552927895332896,0.4628551969638009
SINet_CSHUF_s45,SINet,CSHUF,45,2026,0.33608988491111835,0.4135048664168959,0.5341888140430517,0.3884591233385749,0.4586692592652898
