cluster,n_target,n_cod10k,n_camo,camo_share,target_es,alloc,alloc_share,n_test,test_one_minus_sa,test_mae
0,57,56,1,0.017543859649122806,0.048487,22,0.022,31,0.305025,0.090638
1,115,95,20,0.17391304347826086,0.032655,5,0.005,70,0.336805,0.080343
2,14,6,8,0.5714285714285714,0.02903,3,0.003,6,0.096296,0.031317
3,131,131,0,0.0,0.034377,5,0.005,94,0.313745,0.066207
4,31,22,9,0.2903225806451613,0.032301,4,0.004,12,0.415991,0.098367
5,40,38,2,0.05,0.040832,10,0.01,14,0.373084,0.149764
6,46,41,5,0.10869565217391304,0.037299,7,0.007,22,0.281973,0.06487
7,71,59,12,0.16901408450704225,0.038702,8,0.008,47,0.33113,0.074678
8,29,26,3,0.10344827586206896,0.019469,1,0.001,9,0.281606,0.090182
9,34,22,12,0.35294117647058826,0.028881,3,0.003,3,0.17146,0.02169
10,28,18,10,0.35714285714285715,0.021885,2,0.002,8,0.206638,0.022984
11,79,67,12,0.1518987341772152,0.035838,6,0.006,38,0.348934,0.077542
12,32,29,3,0.09375,0.018391,1,0.001,24,0.258456,0.025562
13,57,47,10,0.17543859649122806,0.059901,67,0.067,24,0.411316,0.165343
14,70,52,18,0.2571428571428571,0.038313,8,0.008,32,0.134275,0.04027
15,48,31,17,0.3541666666666667,0.038928,8,0.008,16,0.26138,0.081791
16,45,40,5,0.1111111111111111,0.026218,2,0.002,22,0.245503,0.040162
17,38,18,20,0.5263157894736842,0.039982,9,0.009,6,0.230623,0.056178
18,101,77,24,0.2376237623762376,0.039402,9,0.009,50,0.416354,0.07121
19,93,85,8,0.08602150537634409,0.048975,23,0.023,66,0.373865,0.108198
20,66,45,21,0.3181818181818182,0.040964,10,0.01,39,0.435392,0.100069
21,121,107,14,0.11570247933884298,0.037062,7,0.007,86,0.268269,0.066218
22,74,53,21,0.28378378378378377,0.033826,5,0.005,24,0.224716,0.045593
23,43,25,18,0.4186046511627907,0.051471,29,0.029,20,0.161743,0.073258
