embedder,set,n,dim,repr,declared_n
dinoL224,tgt,4040,1024,R1-full,4040
dinoL224,raw,4447,1024,R1-full,4447
dinoL224,auth,4447,1024,R1-full,4447
dinoL224,local,4447,1024,R3-render,4447
dinoL224,cut,4447,1024,R2-cutout-grey128,4447
dinoL224,test,2026,1024,R1-full,2026
dinoL224,val,250,1024,R1-full,250
dinoL518,tgt,4040,1024,R1-full,4040
dinoL518,raw,4447,1024,R1-full,4447
dinoL518,auth,4447,1024,R1-full,4447
dinoL518,local,4447,1024,R3-render,4447
dinoL518,cut,4447,1024,R2-cutout-grey128,4447
dinoL518,test,2026,1024,R1-full,2026
dinoL518,val,250,1024,R1-full,250
clipL224,tgt,4040,1024,R1-full,4040
clipL224,raw,4447,1024,R1-full,4447
clipL224,auth,4447,1024,R1-full,4447
clipL224,local,4447,1024,R3-render,4447
clipL224,cut,4447,1024,R2-cutout-grey128,4447
clipL224,test,2026,1024,R1-full,2026
clipL224,val,250,1024,R1-full,250
