arch,signal,aggregation,n_images,clusters_used,rho_mae,sd_mae,rho_one_minus_sa,sd_one_minus_sa,rho_one_minus_iou,sd_one_minus_iou,ordering_pass,ordering_seeds,ratio,ratio_sd,ratio_delta_vs_es,primary
SINet/S2C,ES (re-derived),whole,4040,50,0.6284,0.0381,0.3433,0.0301,0.2613,0.0383,True,10/10,0.5463,0.0541,-0.0000,1
SINet/S2C,ES (re-derived),boundary,3909,50,-0.0012,0.0481,-0.0567,0.0500,-0.0554,0.0479,False,8/10,47.2400,32.5544,+46.6937,1
SINet/S2C,entropy,whole,4040,50,0.5892,0.0368,0.4267,0.0277,0.3588,0.0351,True,10/10,0.7242,0.0571,+0.1779,1
SINet/S2C,entropy,boundary,3909,50,0.2434,0.0414,0.2492,0.0540,0.2432,0.0563,False,6/10,1.0237,0.1741,+0.4774,1
SINet/S2C,ensemble A0,whole,4040,50,0.6028,0.0466,0.2698,0.0487,0.1491,0.0560,True,10/10,0.4476,0.0586,-0.0987,1
SINet/S2C,ensemble A0,boundary,3909,50,0.3633,0.0605,0.2910,0.0509,0.2215,0.0513,True,10/10,0.8012,0.0828,+0.2549,1
SINet/S2C,ensemble CSHUF,whole,4040,50,0.5212,0.0564,0.4006,0.0459,0.3361,0.0447,True,10/10,0.7687,0.1062,+0.2224,1
SINet/S2C,ensemble CSHUF,boundary,3909,50,0.3175,0.0637,0.3857,0.0381,0.3770,0.0322,False,2/10,1.2151,0.2763,+0.6688,1
SINet/S2C,entropy clamp 1e-12,whole,4040,50,0.5892,,0.4267,,0.3588,,True,1/1,0.7242,,+0.1779,0
SINet/S2C,entropy clamp 1e-12,boundary,3909,50,0.2434,,0.2492,,0.2432,,False,0/1,1.0237,,+0.4774,0
SINet/S2C,ES (re-derived),boundary 2px,3909,50,-0.0371,,-0.0884,,-0.0785,,False,0/1,2.3816,,+1.8353,0
SINet/S2C,entropy,boundary 2px,3909,50,0.2230,,0.2049,,0.1974,,True,1/1,0.9190,,+0.3727,0
SINet/S2C,ensemble A0,boundary 2px,3909,50,0.3421,,0.2835,,0.2168,,True,1/1,0.8285,,+0.2822,0
SINet/S2C,ensemble CSHUF,boundary 2px,3909,50,0.3046,,0.3625,,0.3538,,False,0/1,1.1901,,+0.6438,0
SINet/S2C,ensemble A0 mean(sd),whole,4040,50,0.6330,,0.2902,,0.1733,,True,1/1,0.4584,,-0.0879,0
SINet/S2C,ensemble A0 mean(sd),boundary,3909,50,0.3254,,0.2736,,0.2187,,True,1/1,0.8406,,+0.2943,0
SINet/S2C,ensemble CSHUF mean(sd),whole,4040,50,0.5823,,0.4144,,0.3412,,True,1/1,0.7116,,+0.1653,0
